name,अध्यक्ष / प्रमुख,उपाध्यक्ष / उपप्रमुख,वडा-अध्यक्ष,कुल उम्मेदवार
नेकपा एमाले,730,716,"6,458","33,186"
नेपाली काँग्रेस,631,534,"6,051","30,750"
माओवादी केन्द्र,418,490,"4,094","20,769"
राप्रपा,527,428,"3,063","12,406"
नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी),275,299,"2,043","9,818"
जसपा,316,279,"1,964","9,158"
लोसपा ,168,133,"1,025","4,717"
स्वतन्त्र,"2,107",541,"4,284","9,629"
अन्य,"1,164",715,"3,500","14,426"
