name,अध्यक्ष / प्रमुख,उपाध्यक्ष / उपप्रमुख,वडा-अध्यक्ष,कुल उम्मेदवार
नेकपा एमाले,730,716,6458,33186
नेपाली काँग्रेस,631,534,6051,30750
माओवादी केन्द्र,418,490,4094,20769
राप्रपा,527,428,3063,12406
नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी),275,299,2043,9818
जसपा,316,279,1964,9158
लोसपा ,168,133,1025,4717
स्वतन्त्र,2107,541,4284,9629
अन्य,1164,715,3500,14426
