SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
1,Province 1,Pachthar,Kummayak Rural Municipality,Mayor,,45,M,Communist Party of Nepal (UML),3226,Elected
2,Province 1,Pachthar,Kummayak Rural Municipality,Vice-Mayor,,58,F,Communist Party of Nepal (UML),3285,Elected
3,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,1,31,M,Independent ,507,Elected
4,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,1,47,F,Communist Party of Nepal (UML),610,Elected
5,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,1,52,M,Communist Party of Nepal (UML),589,Elected
6,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,1,48,F,Communist Party of Nepal (UML),611,Elected
7,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,1,55,F,Communist Party of Nepal (UML),571,Elected
8,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,2,53,M,Communist Party of Nepal (UML),701,Elected
9,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,2,48,M,Communist Party of Nepal (UML),689,Elected
10,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,2,54,M,Communist Party of Nepal (UML),664,Elected
11,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,2,43,F,Communist Party of Nepal (UML),709,Elected
12,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,2,66,F,Communist Party of Nepal (UML),667,Elected
13,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,3,38,M,Communist Party of Nepal (UML),505,Elected
14,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,3,36,M,Communist Party of Nepal (UML),472,Elected
15,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,3,46,M,Communist Party of Nepal (UML),454,Elected
16,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,3,39,F,Communist Party of Nepal (UML),438,Elected
17,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,3,28,F,Communist Party of Nepal (UML),454,Elected
18,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,4,54,M,Communist Party of Nepal (UML),557,Elected
19,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (UML),610,Elected
20,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),586,Elected
21,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,4,45,F,Communist Party of Nepal (UML),629,Elected
22,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,4,57,F,Communist Party of Nepal (UML),630,Elected
23,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,5,57,M,Communist Party of Nepal (UML),711,Elected
24,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,5,52,M,Communist Party of Nepal (UML),645,Elected
25,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,5,54,M,Communist Party of Nepal (UML),642,Elected
26,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,5,22,F,Communist Party of Nepal (UML),706,Elected
27,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,5,23,F,Communist Party of Nepal (UML),698,Elected
28,Province 1,Pachthar,Tumbewa Rural Municipality,Mayor,,53,M,Nepali Congress,2350,Elected
29,Province 1,Pachthar,Tumbewa Rural Municipality,Vice-Mayor,,46,M,Communist Party of Nepal (UML),1964,Elected
30,Province 1,Pachthar,Tumbewa Rural Municipality,Ward President,1,42,M,Communist Party of Nepal (UML),325,Elected
31,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,1,37,M,Nepali Congress,401,Elected
32,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,1,38,M,Communist Party of Nepal (UML),307,Elected
33,Province 1,Pachthar,Tumbewa Rural Municipality,Female Ward Member,1,55,F,Communist Party of Nepal (UML),436,Elected
34,Province 1,Pachthar,Tumbewa Rural Municipality,Dalit Female Ward Member,1,47,F,Communist Party of Nepal (UML),344,Elected
35,Province 1,Pachthar,Tumbewa Rural Municipality,Ward President,2,51,M,Communist Party of Nepal (UML),408,Elected
36,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,2,56,M,Communist Party of Nepal (UML),383,Elected
37,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,2,38,M,Communist Party of Nepal (UML),344,Elected
38,Province 1,Pachthar,Tumbewa Rural Municipality,Female Ward Member,2,46,F,Communist Party of Nepal (UML),369,Elected
39,Province 1,Pachthar,Tumbewa Rural Municipality,Dalit Female Ward Member,2,51,F,Communist Party of Nepal (UML),352,Elected
40,Province 1,Pachthar,Tumbewa Rural Municipality,Ward President,3,41,M,Communist Party of Nepal (UML),415,Elected
41,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,3,65,M,Nepali Congress,387,Elected
42,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,3,56,M,Nepali Congress,360,Elected
43,Province 1,Pachthar,Tumbewa Rural Municipality,Female Ward Member,3,32,F,Communist Party of Nepal (UML),379,Elected
44,Province 1,Pachthar,Tumbewa Rural Municipality,Dalit Female Ward Member,3,36,F,Communist Party of Nepal (UML),384,Elected
45,Province 1,Pachthar,Tumbewa Rural Municipality,Ward President,4,53,M,Nepali Congress,439,Elected
46,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,4,56,M,Nepali Congress,418,Elected
47,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,4,55,M,Communist Party of Nepal (UML),417,Elected
48,Province 1,Pachthar,Tumbewa Rural Municipality,Female Ward Member,4,26,F,Communist Party of Nepal (UML),428,Elected
49,Province 1,Pachthar,Tumbewa Rural Municipality,Dalit Female Ward Member,4,30,F,Nepali Congress,434,Elected
50,Province 1,Pachthar,Tumbewa Rural Municipality,Ward President,5,64,M,Nepali Congress,667,Elected
51,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,5,57,M,Nepali Congress,712,Elected
52,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,5,35,M,Nepali Congress,672,Elected
53,Province 1,Pachthar,Tumbewa Rural Municipality,Female Ward Member,5,36,F,Nepali Congress,638,Elected
54,Province 1,Pachthar,Tumbewa Rural Municipality,Dalit Female Ward Member,5,30,F,Nepali Congress,656,Elected
55,Province 1,Pachthar,Falelung Rural Municipality,Mayor,,49,M,Nepali Congress,2996,Elected
56,Province 1,Pachthar,Falelung Rural Municipality,Vice-Mayor,,35,F,Nepali Congress,2981,Elected
57,Province 1,Pachthar,Falelung Rural Municipality,Ward President,1,59,M,Communist Party of Nepal (UML),500,Elected
58,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,1,57,M,Communist Party of Nepal (UML),418,Elected
59,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,1,41,F,Communist Party of Nepal (UML),366,Elected
60,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,1,37,F,Communist Party of Nepal (UML),439,Elected
61,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,1,35,F,Communist Party of Nepal (UML),425,Elected
62,Province 1,Pachthar,Falelung Rural Municipality,Ward President,2,48,M,Communist Party of Nepal (Maoist Centre),472,Elected
63,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,2,26,M,Communist Party of Nepal (UML),421,Elected
64,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,2,34,M,Communist Party of Nepal (UML),420,Elected
65,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,2,57,F,Communist Party of Nepal (Maoist Centre),417,Elected
66,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (Maoist Centre),426,Elected
67,Province 1,Pachthar,Falelung Rural Municipality,Ward President,3,39,M,Nepali Congress,522,Elected
68,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,3,53,F,Nepali Congress,490,Elected
69,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,3,39,M,Nepali Congress,483,Elected
70,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,3,33,F,Nepali Congress,496,Elected
71,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,3,39,F,Nepali Congress,492,Elected
72,Province 1,Pachthar,Falelung Rural Municipality,Ward President,4,30,M,Communist Party of Nepal (Maoist Centre),370,Elected
73,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (Maoist Centre),375,Elected
74,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,4,44,M,Communist Party of Nepal (Maoist Centre),351,Elected
75,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,4,35,F,Communist Party of Nepal (Maoist Centre),351,Elected
76,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,4,67,F,Communist Party of Nepal (Maoist Centre),373,Elected
77,Province 1,Pachthar,Falelung Rural Municipality,Ward President,5,47,M,Nepali Congress,716,Elected
78,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,5,61,M,Nepali Congress,692,Elected
79,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,5,35,M,Nepali Congress,686,Elected
80,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,5,39,F,Nepali Congress,711,Elected
81,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,5,38,F,Nepali Congress,705,Elected
82,Province 1,Pachthar,Falelung Rural Municipality,Ward President,6,37,F,Communist Party of Nepal (UML),386,Elected
83,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,6,31,M,Communist Party of Nepal (UML),377,Elected
84,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,6,45,M,Communist Party of Nepal (UML),376,Elected
85,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,6,31,F,Communist Party of Nepal (UML),388,Elected
86,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,6,23,F,Communist Party of Nepal (UML),386,Elected
87,Province 1,Pachthar,Falelung Rural Municipality,Ward President,7,55,M,Nepali Congress,428,Elected
88,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,7,26,M,Nepali Congress,382,Elected
89,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,7,40,M,Nepali Congress,380,Elected
90,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,7,35,F,Nepali Congress,382,Elected
91,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,7,34,F,Nepali Congress,402,Elected
92,Province 1,Pachthar,Falelung Rural Municipality,Ward President,8,52,M,Communist Party of Nepal (Maoist Centre),595,Elected
93,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,8,56,M,Communist Party of Nepal (Maoist Centre),552,Elected
94,Province 1,Pachthar,Falelung Rural Municipality,Ward Member,8,40,M,Communist Party of Nepal (Maoist Centre),528,Elected
95,Province 1,Pachthar,Falelung Rural Municipality,Female Ward Member,8,33,F,Communist Party of Nepal (Maoist Centre),561,Elected
96,Province 1,Pachthar,Falelung Rural Municipality,Dalit Female Ward Member,8,32,F,Communist Party of Nepal (Maoist Centre),568,Elected
97,Province 1,Pachthar,Falgunanda Rural Municipality,Mayor,,74,M,Nepali Congress,4163,Elected
98,Province 1,Pachthar,Falgunanda Rural Municipality,Vice-Mayor,,44,F,Nepali Congress,3953,Elected
99,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,1,50,M,Nepali Congress,874,Elected
100,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,1,36,M,Nepali Congress,794,Elected
101,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,1,37,M,Nepali Congress,759,Elected
102,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,1,28,F,Nepali Congress,803,Elected
103,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,1,59,F,Nepali Congress,793,Elected
104,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,2,38,M,Communist Party of Nepal (UML),370,Elected
105,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,2,59,M,Communist Party of Nepal (UML),322,Elected
106,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,2,30,M,Communist Party of Nepal (UML),321,Elected
107,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,2,50,F,Communist Party of Nepal (UML),327,Elected
108,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,2,34,F,Communist Party of Nepal (UML),304,Elected
109,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,3,37,M,Nepali Congress,717,Elected
110,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,3,44,M,Nepali Congress,678,Elected
111,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,3,65,M,Nepali Congress,649,Elected
112,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,3,29,F,Nepali Congress,706,Elected
113,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,3,54,F,Nepali Congress,687,Elected
114,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,4,51,M,Communist Party of Nepal (UML),606,Elected
115,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,4,55,M,Communist Party of Nepal (UML),578,Elected
116,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),537,Elected
117,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,4,57,F,Communist Party of Nepal (UML),545,Elected
118,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,4,55,F,Communist Party of Nepal (UML),566,Elected
119,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,5,64,M,Nepali Congress,567,Elected
120,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,5,40,M,Nepali Congress,500,Elected
121,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,5,57,M,Nepali Congress,489,Elected
122,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,5,48,F,Nepali Congress,534,Elected
123,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,5,44,F,Communist Party of Nepal (UML),511,Elected
124,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,6,51,M,Nepali Congress,702,Elected
125,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,6,55,M,Nepali Congress,680,Elected
126,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,6,59,M,Nepali Congress,659,Elected
127,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,6,63,F,Nepali Congress,683,Elected
128,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,6,24,F,Nepali Congress,678,Elected
129,Province 1,Pachthar,Falgunanda Rural Municipality,Ward President,7,59,M,Nepali Congress,543,Elected
130,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,7,39,M,Nepali Congress,516,Elected
131,Province 1,Pachthar,Falgunanda Rural Municipality,Ward Member,7,73,M,Nepali Congress,466,Elected
132,Province 1,Pachthar,Falgunanda Rural Municipality,Female Ward Member,7,39,F,Nepali Congress,497,Elected
133,Province 1,Pachthar,Falgunanda Rural Municipality,Dalit Female Ward Member,7,42,F,Nepali Congress,512,Elected
134,Province 1,Pachthar,Miklajung Rural Municipality,Mayor,,42,M,Communist Party of Nepal (Maoist Centre),3762,Elected
135,Province 1,Pachthar,Miklajung Rural Municipality,Vice-Mayor,,46,F,Communist Party of Nepal (UML),3506,Elected
136,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,1,49,M,Communist Party of Nepal (Maoist Centre),421,Elected
137,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,1,36,M,Communist Party of Nepal (Maoist Centre),398,Elected
138,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,1,37,M,Communist Party of Nepal (Maoist Centre),387,Elected
139,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,1,39,F,Communist Party of Nepal (Maoist Centre),401,Elected
140,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,1,32,F,Communist Party of Nepal (Maoist Centre),414,Elected
141,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,2,43,M,Nepali Congress,608,Elected
142,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,2,50,M,Nepali Congress,512,Elected
143,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,2,46,M,Nepali Congress,476,Elected
144,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,2,39,F,Nepali Congress,553,Elected
145,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,2,40,F,Nepali Congress,553,Elected
146,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,3,51,M,Communist Party of Nepal (UML),670,Elected
147,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,3,29,M,Communist Party of Nepal (UML),662,Elected
148,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,3,53,M,Communist Party of Nepal (UML),651,Elected
149,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,3,37,F,Communist Party of Nepal (UML),689,Elected
150,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,3,42,F,Communist Party of Nepal (UML),594,Elected
151,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,4,51,M,Communist Party of Nepal (Maoist Centre),956,Elected
152,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,4,49,M,Communist Party of Nepal (Maoist Centre),832,Elected
153,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,4,53,M,Communist Party of Nepal (Maoist Centre),803,Elected
154,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,4,46,F,Communist Party of Nepal (Maoist Centre),850,Elected
155,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,4,36,F,Communist Party of Nepal (Maoist Centre),893,Elected
156,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,5,28,M,Communist Party of Nepal (Maoist Centre),833,Elected
157,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,5,30,M,Communist Party of Nepal (Maoist Centre),833,Elected
158,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,5,38,M,Communist Party of Nepal (Maoist Centre),796,Elected
159,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,5,32,F,Communist Party of Nepal (Maoist Centre),846,Elected
160,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,5,52,F,Communist Party of Nepal (Maoist Centre),749,Elected
161,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,6,56,M,Communist Party of Nepal (UML),447,Elected
162,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,6,46,M,Communist Party of Nepal (UML),429,Elected
163,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,6,43,M,Communist Party of Nepal (UML),413,Elected
164,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,6,26,F,Communist Party of Nepal (UML),432,Elected
165,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,6,46,F,Communist Party of Nepal (UML),428,Elected
166,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,7,45,M,Communist Party of Nepal (UML),511,Elected
167,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,7,34,M,Communist Party of Nepal (UML),496,Elected
168,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,7,37,M,Communist Party of Nepal (UML),496,Elected
169,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,7,48,F,Communist Party of Nepal (UML),479,Elected
170,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,7,23,F,Communist Party of Nepal (UML),500,Elected
171,Province 1,Pachthar,Miklajung Rural Municipality,Ward President,8,50,M,Communist Party of Nepal (UML),610,Elected
172,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,8,38,M,Communist Party of Nepal (UML),580,Elected
173,Province 1,Pachthar,Miklajung Rural Municipality,Ward Member,8,53,M,Communist Party of Nepal (UML),574,Elected
174,Province 1,Pachthar,Miklajung Rural Municipality,Female Ward Member,8,32,F,Communist Party of Nepal (UML),590,Elected
175,Province 1,Pachthar,Miklajung Rural Municipality,Dalit Female Ward Member,8,52,F,Communist Party of Nepal (UML),586,Elected
176,Province 1,Pachthar,Phidim Urban Municipality,Mayor,,71,M,Nepali Congress,6906,Elected
177,Province 1,Pachthar,Phidim Urban Municipality,Vice-Mayor,,57,F,Nepali Congress,6518,Elected
178,Province 1,Pachthar,Phidim Urban Municipality,Ward President,1,69,M,Nepali Congress,774,Elected
179,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,1,39,M,Nepali Congress,803,Elected
180,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,1,52,M,Nepali Congress,742,Elected
181,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,1,45,F,Communist Party of Nepal (UML),775,Elected
182,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,1,49,F,Communist Party of Nepal (UML),756,Elected
183,Province 1,Pachthar,Phidim Urban Municipality,Ward President,2,45,M,Nepali Congress,557,Elected
184,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,2,51,M,Nepali Congress,540,Elected
185,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,2,38,M,Nepali Congress,492,Elected
186,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,2,44,F,Nepali Congress,536,Elected
187,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,2,33,F,Nepali Congress,555,Elected
188,Province 1,Pachthar,Phidim Urban Municipality,Ward President,3,36,M,Nepali Congress,217,Elected
189,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,3,40,M,Communist Party of Nepal (UML),245,Elected
190,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,3,46,M,Communist Party of Nepal (UML),207,Elected
191,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,3,34,F,Nepali Congress,215,Elected
192,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,3,49,F,Nepali Congress,203,Elected
193,Province 1,Pachthar,Phidim Urban Municipality,Ward President,4,38,M,Nepali Congress,492,Elected
194,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,4,60,M,Nepali Congress,442,Elected
195,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,4,37,M,Nepali Congress,406,Elected
196,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,4,47,F,Nepali Congress,447,Elected
197,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,4,38,F,Nepali Congress,478,Elected
198,Province 1,Pachthar,Phidim Urban Municipality,Ward President,5,31,M,Communist Party of Nepal (UML),635,Elected
199,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,5,57,M,Nepali Congress,573,Elected
200,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,5,39,M,Nepali Congress,550,Elected
201,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,5,45,F,Nepali Congress,606,Elected
202,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,5,35,F,Nepali Congress,611,Elected
203,Province 1,Pachthar,Phidim Urban Municipality,Ward President,6,36,M,Nepali Congress,674,Elected
204,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,6,48,M,Nepali Congress,579,Elected
205,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,6,38,M,Nepali Congress,555,Elected
206,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,6,27,F,Nepali Congress,667,Elected
207,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,6,42,F,Nepali Congress,650,Elected
208,Province 1,Pachthar,Phidim Urban Municipality,Ward President,7,65,M,Nepali Congress,434,Elected
209,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,7,29,M,Nepali Congress,481,Elected
210,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,7,48,M,Nepali Congress,473,Elected
211,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,7,27,F,Nepali Congress,447,Elected
212,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,7,31,F,Nepali Congress,466,Elected
213,Province 1,Pachthar,Phidim Urban Municipality,Ward President,8,49,M,Communist Party of Nepal (UML),515,Elected
214,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,8,44,M,Communist Party of Nepal (UML),513,Elected
215,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,8,46,M,Communist Party of Nepal (UML),507,Elected
216,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,8,46,F,Communist Party of Nepal (UML),508,Elected
217,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,8,23,F,Communist Party of Nepal (UML),498,Elected
218,Province 1,Pachthar,Phidim Urban Municipality,Ward President,9,34,M,Nepali Congress,477,Elected
219,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,9,42,M,Nepali Congress,486,Elected
220,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,9,52,M,Nepali Congress,466,Elected
221,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,9,46,F,Nepali Congress,466,Elected
222,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,9,47,F,Nepali Congress,484,Elected
223,Province 1,Pachthar,Phidim Urban Municipality,Ward President,10,45,F,Nepali Congress,371,Elected
224,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,10,63,M,Nepali Congress,341,Elected
225,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,10,60,M,Nepali Congress,319,Elected
226,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,10,28,F,Nepali Congress,359,Elected
227,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,10,27,F,Nepali Congress,360,Elected
228,Province 1,Pachthar,Phidim Urban Municipality,Ward President,11,55,M,Nepali Congress,525,Elected
229,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,11,43,M,Nepali Congress,483,Elected
230,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,11,46,M,Nepali Congress,469,Elected
231,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,11,26,F,Communist Party of Nepal (UML),465,Elected
232,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,11,34,F,Communist Party of Nepal (UML),481,Elected
233,Province 1,Pachthar,Phidim Urban Municipality,Ward President,12,48,M,Communist Party of Nepal (Maoist Centre),405,Elected
234,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,12,57,M,Communist Party of Nepal (UML),408,Elected
235,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,13,58,M,Communist Party of Nepal (Maoist Centre),639,Elected
236,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,13,25,M,Communist Party of Nepal (Maoist Centre),632,Elected
237,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,13,33,F,Communist Party of Nepal (Maoist Centre),636,Elected
238,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,13,35,F,Communist Party of Nepal (Maoist Centre),646,Elected
239,Province 1,Pachthar,Phidim Urban Municipality,Ward President,14,48,M,Communist Party of Nepal (UML),414,Elected
240,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,14,47,M,Nepali Congress,431,Elected
241,Province 1,Pachthar,Phidim Urban Municipality,Ward Member,14,45,M,Nepali Congress,393,Elected
242,Province 1,Pachthar,Phidim Urban Municipality,Female Ward Member,14,30,F,Nepali Congress,408,Elected
243,Province 1,Pachthar,Phidim Urban Municipality,Dalit Female Ward Member,14,37,F,Nepali Congress,405,Elected
244,Province 1,Pachthar,Yangbarak Rural Municipality,Mayor,,47,M,Communist Party of Nepal (UML),3748,Elected
