District,Male Count,Female Count
Gorkha,11,0
Manang,4,0
Lamjung,7,1
Kaski,5,0
Tanahu,9,1
Syangja,10,1
Nawalparasi (East),6,2
Mustang,5,0
Myagdi,5,1
Baglung,10,0
Parbat,7,0
