SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
1,Province 7,Bajura,Gaumul Rural Municipality,Mayor,  ,36,M,Communist Party of Nepal (UML),2240,Elected
2,Province 7,Bajura,Gaumul Rural Municipality,Vice-Mayor,  ,36,F,Communist Party of Nepal (UML),2201,Elected
3,Province 7,Bajura,Gaumul Rural Municipality,Ward President,1,48,M,Communist Party of Nepal (UML),590,Elected
4,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,1,38,M,Communist Party of Nepal (UML),585,Elected
5,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,1,29,M,Communist Party of Nepal (UML),583,Elected
6,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,1,69,F,Communist Party of Nepal (UML),594,Elected
7,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,1,37,F,Communist Party of Nepal (UML),593,Elected
8,Province 7,Bajura,Gaumul Rural Municipality,Ward President,2,54,M,Nepali Congress,388,Elected
9,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,2,44,M,Nepali Congress,401,Elected
10,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,2,48,M,Nepali Congress,400,Elected
11,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,2,30,F,Nepali Congress,402,Elected
12,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,2,32,F,Nepali Congress,399,Elected
13,Province 7,Bajura,Gaumul Rural Municipality,Ward President,3,64,M,Communist Party of Nepal (UML),380,Elected
14,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,3,43,M,Communist Party of Nepal (UML),379,Elected
15,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,3,37,M,Communist Party of Nepal (UML),379,Elected
16,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,3,36,F,Communist Party of Nepal (UML),366,Elected
17,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,3,37,F,Communist Party of Nepal (UML),376,Elected
18,Province 7,Bajura,Gaumul Rural Municipality,Ward President,4,46,M,Communist Party of Nepal (UML),328,Elected
19,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),323,Elected
20,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),321,Elected
21,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,4,33,F,Communist Party of Nepal (UML),325,Elected
22,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,4,31,F,Communist Party of Nepal (UML),324,Elected
23,Province 7,Bajura,Gaumul Rural Municipality,Ward President,5,40,M,Communist Party of Nepal (UML),278,Elected
24,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,5,57,M,Communist Party of Nepal (UML),282,Elected
25,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,5,56,M,Communist Party of Nepal (UML),280,Elected
26,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,5,39,F,Communist Party of Nepal (UML),285,Elected
27,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,5,29,F,Communist Party of Nepal (UML),281,Elected
28,Province 7,Bajura,Gaumul Rural Municipality,Ward President,6,45,M,Communist Party of Nepal (UML),288,Elected
29,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,6,64,M,Nepali Congress,283,Elected
30,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,6,37,M,Communist Party of Nepal (UML),283,Elected
31,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,6,27,F,Nepali Congress,285,Elected
32,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,6,32,F,Nepali Congress,282,Elected
33,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Mayor,  ,41,M,Nepali Congress,3705,Elected
34,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Vice-Mayor,  ,32,F,Nepali Congress,3671,Elected
35,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,1,44,M,Communist Party of Nepal (UML),601,Elected
36,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,1,37,M,Communist Party of Nepal (UML),656,Elected
37,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,1,31,M,Communist Party of Nepal (UML),644,Elected
38,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,1,42,F,Communist Party of Nepal (UML),646,Elected
39,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,1,41,F,Communist Party of Nepal (UML),654,Elected
40,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,2,45,M,Nepali Congress,579,Elected
41,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,2,36,M,Nepali Congress,591,Elected
42,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,2,53,M,Nepali Congress,590,Elected
43,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,2,51,F,Nepali Congress,589,Elected
44,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,2,42,F,Nepali Congress,592,Elected
45,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,3,39,M,Communist Party of Nepal (UML),390,Elected
46,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,3,39,M,Communist Party of Nepal (UML),379,Elected
47,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,3,44,M,Communist Party of Nepal (UML),357,Elected
48,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,3,32,F,Communist Party of Nepal (UML),387,Elected
49,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,3,42,F,Communist Party of Nepal (UML),385,Elected
50,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,4,37,M,Nepali Congress,603,Elected
51,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,4,40,M,Nepali Congress,596,Elected
52,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,4,35,M,Nepali Congress,596,Elected
53,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,4,31,F,Nepali Congress,608,Elected
54,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,4,54,F,Nepali Congress,606,Elected
55,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,5,31,M,Nepali Congress,779,Elected
56,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,5,48,M,Nepali Congress,812,Elected
57,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,5,64,M,Nepali Congress,788,Elected
58,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,5,29,F,Nepali Congress,817,Elected
59,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,5,39,F,Nepali Congress,810,Elected
60,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,6,36,M,Nepali Congress,435,Elected
61,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,6,38,M,Nepali Congress,433,Elected
62,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,6,34,M,Nepali Congress,412,Elected
63,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,6,37,F,Nepali Congress,419,Elected
64,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,6,38,F,Nepali Congress,427,Elected
65,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward President,7,46,M,Communist Party of Nepal (UML),641,Elected
66,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,7,53,M,Communist Party of Nepal (UML),638,Elected
67,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Ward Member,7,42,M,Communist Party of Nepal (UML),615,Elected
68,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Female Ward Member,7,41,F,Communist Party of Nepal (UML),622,Elected
69,Province 7,Bajura,Khaptad Chhededaha Rural Municipality,Dalit Female Ward Member,7,48,F,Communist Party of Nepal (UML),625,Elected
70,Province 7,Bajura,Jagannath Rural Municipality,Mayor,  ,47,M,Communist Party of Nepal (UML),1451,Elected
71,Province 7,Bajura,Jagannath Rural Municipality,Vice-Mayor,  ,44,F,Communist Party of Nepal (UML),1490,Elected
72,Province 7,Bajura,Jagannath Rural Municipality,Ward President,1,64,M,Communist Party of Nepal (UML),361,Elected
73,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,1,55,M,Communist Party of Nepal (UML),392,Elected
74,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,1,53,M,Communist Party of Nepal (UML),389,Elected
75,Province 7,Bajura,Jagannath Rural Municipality,Female Ward Member,1,36,F,Communist Party of Nepal (UML),386,Elected
76,Province 7,Bajura,Jagannath Rural Municipality,Dalit Female Ward Member,1,36,F,Communist Party of Nepal (UML),385,Elected
77,Province 7,Bajura,Jagannath Rural Municipality,Ward President,2,65,M,Communist Party of Nepal (UML),289,Elected
78,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),305,Elected
79,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,2,49,M,Communist Party of Nepal (UML),301,Elected
80,Province 7,Bajura,Jagannath Rural Municipality,Female Ward Member,2,29,F,Communist Party of Nepal (UML),299,Elected
81,Province 7,Bajura,Jagannath Rural Municipality,Dalit Female Ward Member,2,38,F,Communist Party of Nepal (UML),303,Elected
82,Province 7,Bajura,Jagannath Rural Municipality,Ward President,3,53,M,Communist Party of Nepal (UML),210,Elected
83,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,3,40,M,Communist Party of Nepal (UML),203,Elected
84,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,3,51,M,Communist Party of Nepal (UML),195,Elected
85,Province 7,Bajura,Jagannath Rural Municipality,Female Ward Member,3,46,F,Communist Party of Nepal (UML),193,Elected
86,Province 7,Bajura,Jagannath Rural Municipality,Dalit Female Ward Member,3,47,F,Communist Party of Nepal (UML),203,Elected
87,Province 7,Bajura,Jagannath Rural Municipality,Ward President,4,39,M,Nepali Congress,304,Elected
88,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,4,47,M,Nepali Congress,296,Elected
89,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,4,25,M,Nepali Congress,288,Elected
90,Province 7,Bajura,Jagannath Rural Municipality,Female Ward Member,4,54,F,Nepali Congress,286,Elected
91,Province 7,Bajura,Jagannath Rural Municipality,Dalit Female Ward Member,4,45,F,Nepali Congress,301,Elected
92,Province 7,Bajura,Jagannath Rural Municipality,Ward President,5,41,M,Communist Party of Nepal (Maoist Centre),311,Elected
93,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,5,37,M,Communist Party of Nepal (Maoist Centre),274,Elected
94,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,5,41,M,Communist Party of Nepal (Maoist Centre),272,Elected
95,Province 7,Bajura,Jagannath Rural Municipality,Female Ward Member,5,29,F,Communist Party of Nepal (Maoist Centre),261,Elected
96,Province 7,Bajura,Jagannath Rural Municipality,Dalit Female Ward Member,5,62,F,Communist Party of Nepal (Maoist Centre),262,Elected
97,Province 7,Bajura,Jagannath Rural Municipality,Ward President,6,40,M,Communist Party of Nepal (UML),316,Elected
98,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),326,Elected
99,Province 7,Bajura,Jagannath Rural Municipality,Ward Member,6,29,M,Communist Party of Nepal (UML),324,Elected
100,Province 7,Bajura,Jagannath Rural Municipality,Female Ward Member,6,49,F,Communist Party of Nepal (UML),307,Elected
101,Province 7,Bajura,Jagannath Rural Municipality,Dalit Female Ward Member,6,66,F,Communist Party of Nepal (UML),323,Elected
102,Province 7,Bajura,Tribeni Urban Municipality,Mayor,  ,62,M,Nepali Congress,3365,Elected
103,Province 7,Bajura,Tribeni Urban Municipality,Vice-Mayor,  ,33,F,Nepali Congress,3392,Elected
104,Province 7,Bajura,Tribeni Urban Municipality,Ward President,1,51,M,Nepali Congress,287,Elected
105,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,1,33,M,Nepali Congress,289,Elected
106,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,1,54,M,Nepali Congress,289,Elected
107,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,1,38,F,Nepali Congress,287,Elected
108,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,1,60,F,Nepali Congress,282,Elected
109,Province 7,Bajura,Tribeni Urban Municipality,Ward President,2,33,M,Nepali Congress,397,Elected
110,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,2,35,M,Nepali Congress,387,Elected
111,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,2,47,M,Nepali Congress,387,Elected
112,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,2,28,F,Nepali Congress,384,Elected
113,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,2,57,F,Nepali Congress,390,Elected
114,Province 7,Bajura,Tribeni Urban Municipality,Ward President,3,35,M,Nepali Congress,371,Elected
115,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,3,52,M,Nepali Congress,370,Elected
116,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,3,68,M,Nepali Congress,340,Elected
117,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,3,23,F,Nepali Congress,358,Elected
118,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,3,37,F,Nepali Congress,367,Elected
119,Province 7,Bajura,Tribeni Urban Municipality,Ward President,4,62,M,Nepali Congress,457,Elected
120,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,4,72,M,Nepali Congress,470,Elected
121,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,4,34,M,Nepali Congress,448,Elected
122,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,4,43,F,Nepali Congress,477,Elected
123,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,4,44,F,Nepali Congress,469,Elected
124,Province 7,Bajura,Tribeni Urban Municipality,Ward President,5,38,M,Nepali Congress,167,Elected
125,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,5,36,M,Nepali Congress,168,Elected
126,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,5,35,M,Nepali Congress,167,Elected
127,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,5,33,F,Nepali Congress,167,Elected
128,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,5,41,F,Nepali Congress,168,Elected
129,Province 7,Bajura,Tribeni Urban Municipality,Ward President,6,35,M,Communist Party of Nepal (Maoist Centre),547,Elected
130,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,6,47,M,Communist Party of Nepal (Maoist Centre),544,Elected
131,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,6,32,M,Communist Party of Nepal (Maoist Centre),543,Elected
132,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,6,37,F,Communist Party of Nepal (Maoist Centre),544,Elected
133,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,6,34,F,Communist Party of Nepal (Maoist Centre),545,Elected
134,Province 7,Bajura,Tribeni Urban Municipality,Ward President,7,47,M,Nepali Congress,483,Elected
135,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,7,33,M,Nepali Congress,490,Elected
136,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,7,40,M,Nepali Congress,488,Elected
137,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,7,32,F,Nepali Congress,490,Elected
138,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,7,22,F,Nepali Congress,486,Elected
139,Province 7,Bajura,Tribeni Urban Municipality,Ward President,8,40,M,Nepali Congress,532,Elected
140,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,8,55,M,Nepali Congress,517,Elected
141,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,8,40,M,Nepali Congress,505,Elected
142,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,8,33,F,Nepali Congress,523,Elected
143,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,8,30,F,Nepali Congress,522,Elected
144,Province 7,Bajura,Tribeni Urban Municipality,Ward President,9,48,M,Nepali Congress,528,Elected
145,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,9,53,M,Nepali Congress,564,Elected
146,Province 7,Bajura,Tribeni Urban Municipality,Ward Member,9,59,M,Nepali Congress,556,Elected
147,Province 7,Bajura,Tribeni Urban Municipality,Female Ward Member,9,44,F,Nepali Congress,513,Elected
148,Province 7,Bajura,Tribeni Urban Municipality,Dalit Female Ward Member,9,46,F,Nepali Congress,563,Elected
149,Province 7,Bajura,Badimalika Urban Municipality,Mayor,  ,47,M,Nepali Congress,2940,Elected
150,Province 7,Bajura,Badimalika Urban Municipality,Vice-Mayor,  ,29,F,Nepali Congress,2945,Elected
151,Province 7,Bajura,Badimalika Urban Municipality,Ward President,1,54,M,Nepali Congress,540,Elected
152,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,1,62,M,Nepali Congress,550,Elected
153,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,1,53,M,Nepali Congress,527,Elected
154,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,1,44,F,Nepali Congress,540,Elected
155,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,1,47,F,Nepali Congress,550,Elected
156,Province 7,Bajura,Badimalika Urban Municipality,Ward President,2,44,M,Communist Party of Nepal (UML),242,Elected
157,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),247,Elected
158,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,2,41,M,Communist Party of Nepal (UML),243,Elected
159,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,2,33,F,Nepali Congress,241,Elected
160,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,2,45,F,Nepali Congress,240,Elected
161,Province 7,Bajura,Badimalika Urban Municipality,Ward President,3,42,M,Communist Party of Nepal (UML),348,Elected
162,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,3,38,M,Communist Party of Nepal (UML),364,Elected
163,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,3,35,M,Communist Party of Nepal (UML),358,Elected
164,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,3,32,F,Communist Party of Nepal (UML),353,Elected
165,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,3,38,F,Communist Party of Nepal (UML),354,Elected
166,Province 7,Bajura,Badimalika Urban Municipality,Ward President,4,28,M,Communist Party of Nepal (UML),149,Elected
167,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,4,41,M,Communist Party of Nepal (UML),163,Elected
168,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,4,61,M,Communist Party of Nepal (UML),161,Elected
169,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,4,30,F,Communist Party of Nepal (UML),162,Elected
170,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,4,34,F,Communist Party of Nepal (UML),155,Elected
171,Province 7,Bajura,Badimalika Urban Municipality,Ward President,5,39,M,Nepali Congress,233,Elected
172,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,5,34,M,Nepali Congress,234,Elected
173,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,5,45,M,Nepali Congress,229,Elected
174,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,5,43,F,Nepali Congress,230,Elected
175,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,5,34,F,Nepali Congress,229,Elected
176,Province 7,Bajura,Badimalika Urban Municipality,Ward President,6,43,F,Nepali Congress,454,Elected
177,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,6,26,M,Nepali Congress,476,Elected
178,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,6,31,M,Nepali Congress,472,Elected
179,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,6,65,F,Nepali Congress,473,Elected
180,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,6,42,F,Nepali Congress,481,Elected
181,Province 7,Bajura,Badimalika Urban Municipality,Ward President,7,33,M,Communist Party of Nepal (UML),433,Elected
182,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,7,44,M,Nepali Congress,450,Elected
183,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,7,59,M,Nepali Congress,413,Elected
184,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,7,42,F,Nepali Congress,407,Elected
185,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,7,47,F,Nepali Congress,420,Elected
186,Province 7,Bajura,Badimalika Urban Municipality,Ward President,8,22,M,Nepali Congress,480,Elected
187,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,8,45,M,Nepali Congress,446,Elected
188,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,8,50,M,Nepali Congress,443,Elected
189,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,8,44,F,Nepali Congress,457,Elected
190,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,8,35,F,Communist Party of Nepal (UML),0,Unopposed
191,Province 7,Bajura,Badimalika Urban Municipality,Ward President,9,31,M,Communist Party of Nepal (UML),543,Elected
192,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,9,48,M,Communist Party of Nepal (UML),565,Elected
193,Province 7,Bajura,Badimalika Urban Municipality,Ward Member,9,33,M,Communist Party of Nepal (UML),539,Elected
194,Province 7,Bajura,Badimalika Urban Municipality,Female Ward Member,9,47,F,Communist Party of Nepal (UML),567,Elected
195,Province 7,Bajura,Badimalika Urban Municipality,Dalit Female Ward Member,9,49,F,Communist Party of Nepal (UML),559,Elected
196,Province 7,Bajura,Budhiganga Urban Municipality,Mayor,  ,38,M,Nepali Congress,3845,Elected
197,Province 7,Bajura,Budhiganga Urban Municipality,Vice-Mayor,  ,47,F,Nepali Congress,3760,Elected
198,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,1,58,M,Nepali Congress,336,Elected
199,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,1,51,M,Nepali Congress,339,Elected
200,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,1,42,M,Nepali Congress,336,Elected
201,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,1,44,F,Nepali Congress,327,Elected
202,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,1,57,F,Nepali Congress,329,Elected
203,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,2,40,M,Communist Party of Nepal (UML),496,Elected
204,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,2,35,M,Communist Party of Nepal (UML),500,Elected
205,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,2,36,M,Communist Party of Nepal (UML),496,Elected
206,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,2,39,F,Communist Party of Nepal (UML),502,Elected
207,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,2,54,F,Communist Party of Nepal (UML),499,Elected
208,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,3,42,M,Communist Party of Nepal (UML),482,Elected
209,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,3,61,M,Communist Party of Nepal (UML),478,Elected
210,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,3,59,M,Communist Party of Nepal (UML),468,Elected
211,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,3,72,F,Communist Party of Nepal (UML),479,Elected
212,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,3,48,F,Communist Party of Nepal (UML),482,Elected
213,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,4,58,M,Nepali Congress,929,Elected
214,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,4,38,M,Nepali Congress,991,Elected
215,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,4,46,M,Nepali Congress,989,Elected
216,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,4,38,F,Nepali Congress,962,Elected
217,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,4,29,F,Nepali Congress,975,Elected
218,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,5,50,M,Communist Party of Nepal (UML),363,Elected
219,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,5,33,M,Communist Party of Nepal (UML),359,Elected
220,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,5,51,M,Communist Party of Nepal (UML),348,Elected
221,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,5,46,F,Communist Party of Nepal (UML),352,Elected
222,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,5,41,F,Communist Party of Nepal (UML),352,Elected
223,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,6,46,M,Communist Party of Nepal (UML),385,Elected
224,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,6,36,M,Communist Party of Nepal (UML),354,Elected
225,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,6,52,M,Communist Party of Nepal (UML),353,Elected
226,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,6,43,F,Communist Party of Nepal (UML),344,Elected
227,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,6,40,F,Communist Party of Nepal (UML),360,Elected
228,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,7,61,M,Nepali Congress,368,Elected
229,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,7,30,M,Nepali Congress,372,Elected
230,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,7,34,M,Nepali Congress,353,Elected
231,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,7,49,F,Nepali Congress,332,Elected
232,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,7,42,F,Nepali Congress,365,Elected
233,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,8,56,M,Nepali Congress,355,Elected
234,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,8,31,M,Nepali Congress,352,Elected
235,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,8,57,M,Nepali Congress,326,Elected
236,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,8,40,F,Nepali Congress,326,Elected
237,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,8,47,F,Nepali Congress,343,Elected
238,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,9,40,M,Communist Party of Nepal (UML),500,Elected
239,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,9,62,M,Communist Party of Nepal (UML),508,Elected
240,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,9,34,M,Communist Party of Nepal (UML),486,Elected
241,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,9,36,F,Communist Party of Nepal (UML),502,Elected
242,Province 7,Bajura,Budhiganga Urban Municipality,Dalit Female Ward Member,9,57,F,Communist Party of Nepal (UML),499,Elected
243,Province 7,Bajura,Budhiganga Urban Municipality,Ward President,10,38,M,Communist Party of Nepal (UML),437,Elected
244,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,10,46,M,Nepali Congress,435,Elected
245,Province 7,Bajura,Budhiganga Urban Municipality,Ward Member,10,46,M,Nepali Congress,420,Elected
246,Province 7,Bajura,Budhiganga Urban Municipality,Female Ward Member,10,37,F,Communist Party of Nepal (UML),432,Elected
