District,21-40,41-60,60+
Arghakhanchi,0,5,1
Banke,0,7,1
Bardiya,3,5,0
Dang,0,7,3
Gulmi,2,4,6
Kapilbastu,2,6,3
Nawalparasi (West),2,5,0
Palpa,1,9,0
Pyuthan,2,6,1
Rolpa,1,9,0
Rukum (East),1,1,1
Rupandehi,3,11,3
