District,Male Count,Female Count,Total,Malepct,Femalepct
Gorkha,11,0,11,100.00,0.00
Manang,4,0,4,100.00,0.00
Lamjung,7,1,8,87.50,12.50
Kaski,5,0,5,100.00,0.00
Tanahu,9,1,10,90.00,10.00
Syangja,10,1,11,90.91,9.09
Nawalparasi (East),6,2,8,75.00,25.00
Mustang,5,0,5,100.00,0.00
Myagdi,5,1,6,83.33,16.67
Baglung,10,0,10,100.00,0.00
Parbat,7,0,7,100.00,0.00
