District,Male Count,Female Count
Salyan,9,1
Dolpa,8,0
Mugu,4,0
Jumla,7,1
Kalikot,9,0
Humla,7,0
Jajarkot,7,0
Dailekh,11,0
Surkhet,9,0
Rukum (West),6,0
