District,21-40,41-60,60+,Total,21-40pct,41-60pct,60+pct
Dailekh,3,8,0,11,27.27,72.73,0.00
Dolpa,4,3,1,8,50.00,37.50,12.50
Humla,1,6,0,7,14.29,85.71,0.00
Jajarkot,5,2,1,8,62.50,25.00,12.50
Jumla,1,6,1,8,12.50,75.00,12.50
Kalikot,5,4,0,9,55.56,44.44,0.00
Mugu,1,2,1,4,25.00,50.00,25.00
Rukum (West),0,5,1,6,0.00,83.33,16.67
Salyan,3,7,0,10,30.00,70.00,0.00
Surkhet,1,7,2,10,10.00,70.00,20.00
