District,Male Count,Female Count
Gulmi,12,0
Palpa,10,0
Arghakhanchi,6,0
Rupandehi,16,0
Kapilbastu,10,0
Rukum (East),2,1
Rolpa,10,0
Pyuthan,9,0
Dang,10,0
Banke,8,0
Bardiya,8,0
Nawalparasi (West),7,0
