District,Male Count,Female Count,Total,Malepct,Femalepct
Salyan,9,1,10,90.00,10.00
Dolpa,8,0,8,100.00,0.00
Mugu,4,0,4,100.00,0.00
Jumla,7,1,8,87.50,12.50
Kalikot,9,0,9,100.00,0.00
Humla,7,0,7,100.00,0.00
Jajarkot,7,0,7,100.00,0.00
Dailekh,11,0,11,100.00,0.00
Surkhet,9,0,9,100.00,0.00
Rukum (West),6,0,6,100.00,0.00
