District,Male Count,Female Count,Total,Malepct,Femalepct
Saptari,18,0,18,100.00,0.00
Siraha,17,0,17,100.00,0.00
Dhanusha,18,0,18,100.00,0.00
Mohattari,15,0,15,100.00,0.00
Sarlahi,20,0,20,100.00,0.00
Parsa,14,0,14,100.00,0.00
Rautahat,17,1,18,94.44,5.56
Bara,16,0,16,100.00,0.00
