District,21-40,41-60,60+,Total,21-40pct,41-60pct,60+pct
Baglung,4,6,1,11,36.36,54.55,9.09
Gorkha,2,7,2,11,18.18,63.64,18.18
Kaski,1,4,0,5,20.00,80.00,0.00
Lamjung,1,6,2,9,11.11,66.67,22.22
Manang,1,3,0,4,25.00,75.00,0.00
Mustang,0,3,2,5,0.00,60.00,40.00
Myagdi,1,4,2,7,14.29,57.14,28.57
Nawalparasi (East),0,6,2,8,0.00,75.00,25.00
Parbat,2,5,0,7,28.57,71.43,0.00
Syangja,2,7,2,11,18.18,63.64,18.18
Tanahu,1,8,2,11,9.09,72.73,18.18
