SN,Province,District,Admin_div,Position,Ward,Age,Gender,Party,Vote,Status
23211,Province 5,Palpa,Tansen Urban Municipality,Ward Member,5,40,M,Communist Party of Nepal (UML),1024,Elected
23212,Province 5,Palpa,Tansen Urban Municipality,Ward Member,5,30,F,Communist Party of Nepal (UML),811,Elected
23213,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,5,46,F,Communist Party of Nepal (UML),919,Elected
23214,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,5,31,F,Communist Party of Nepal (UML),908,Elected
23215,Province 5,Palpa,Tansen Urban Municipality,Ward President,6,44,M,Nepali Congress,855,Elected
23216,Province 5,Palpa,Tansen Urban Municipality,Ward Member,6,55,M,Communist Party of Nepal (UML),787,Elected
23217,Province 5,Palpa,Tansen Urban Municipality,Ward Member,6,60,M,Communist Party of Nepal (UML),769,Elected
23218,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,6,51,F,Communist Party of Nepal (UML),804,Elected
23219,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,6,34,F,Communist Party of Nepal (UML),786,Elected
23220,Province 5,Palpa,Tansen Urban Municipality,Ward President,7,42,M,Nepali Congress,1038,Elected
23221,Province 5,Palpa,Tansen Urban Municipality,Ward Member,7,35,M,Nepali Congress,1031,Elected
23222,Province 5,Palpa,Tansen Urban Municipality,Ward Member,7,60,M,Nepali Congress,981,Elected
23223,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,7,33,F,Nepali Congress,987,Elected
23224,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,7,38,F,Nepali Congress,994,Elected
23225,Province 5,Palpa,Tansen Urban Municipality,Ward President,8,58,M,Communist Party of Nepal (UML),828,Elected
23226,Province 5,Palpa,Tansen Urban Municipality,Ward Member,8,62,M,Communist Party of Nepal (UML),833,Elected
23227,Province 5,Palpa,Tansen Urban Municipality,Ward Member,8,48,M,Communist Party of Nepal (UML),798,Elected
23228,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,8,47,F,Communist Party of Nepal (UML),800,Elected
23229,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,8,24,F,Communist Party of Nepal (UML),827,Elected
23230,Province 5,Palpa,Tansen Urban Municipality,Ward President,9,56,M,Communist Party of Nepal (UML),964,Elected
23231,Province 5,Palpa,Tansen Urban Municipality,Ward Member,9,35,M,Communist Party of Nepal (UML),1043,Elected
23232,Province 5,Palpa,Tansen Urban Municipality,Ward Member,9,48,M,Communist Party of Nepal (UML),1013,Elected
23233,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,9,45,F,Communist Party of Nepal (UML),1009,Elected
23234,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,9,48,F,Communist Party of Nepal (UML),1038,Elected
23235,Province 5,Palpa,Tansen Urban Municipality,Ward President,10,57,M,Communist Party of Nepal (UML),680,Elected
23236,Province 5,Palpa,Tansen Urban Municipality,Ward Member,10,52,M,Communist Party of Nepal (UML),713,Elected
23237,Province 5,Palpa,Tansen Urban Municipality,Ward Member,10,48,M,Communist Party of Nepal (UML),713,Elected
23238,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,10,35,F,Communist Party of Nepal (UML),748,Elected
23239,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,10,45,F,Communist Party of Nepal (UML),765,Elected
23240,Province 5,Palpa,Tansen Urban Municipality,Ward President,11,58,M,Communist Party of Nepal (UML),591,Elected
23241,Province 5,Palpa,Tansen Urban Municipality,Ward Member,11,57,M,Communist Party of Nepal (UML),663,Elected
23242,Province 5,Palpa,Tansen Urban Municipality,Ward Member,11,47,M,Communist Party of Nepal (UML),593,Elected
23243,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,11,37,F,Communist Party of Nepal (UML),621,Elected
23244,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,11,35,F,Communist Party of Nepal (UML),616,Elected
23245,Province 5,Palpa,Tansen Urban Municipality,Ward President,12,55,M,Communist Party of Nepal (UML),800,Elected
23246,Province 5,Palpa,Tansen Urban Municipality,Ward Member,12,53,M,Communist Party of Nepal (UML),858,Elected
23247,Province 5,Palpa,Tansen Urban Municipality,Ward Member,12,52,M,Communist Party of Nepal (UML),842,Elected
23248,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,12,46,F,Communist Party of Nepal (UML),847,Elected
23249,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,12,46,F,Communist Party of Nepal (UML),852,Elected
23250,Province 5,Palpa,Tansen Urban Municipality,Ward President,13,43,M,Communist Party of Nepal (Maoist Centre),408,Elected
23251,Province 5,Palpa,Tansen Urban Municipality,Ward Member,13,36,F,Nepali Congress,458,Elected
23252,Province 5,Palpa,Tansen Urban Municipality,Ward Member,13,62,M,Nepali Congress,455,Elected
23253,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,13,41,F,Communist Party of Nepal (UML),464,Elected
23254,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,13,36,F,Communist Party of Nepal (UML),460,Elected
23255,Province 5,Palpa,Tansen Urban Municipality,Ward President,14,45,M,Nepali Congress,939,Elected
23256,Province 5,Palpa,Tansen Urban Municipality,Ward Member,14,46,M,Nepali Congress,1017,Elected
23257,Province 5,Palpa,Tansen Urban Municipality,Ward Member,14,46,M,Nepali Congress,986,Elected
23258,Province 5,Palpa,Tansen Urban Municipality,Female Ward Member,14,44,F,Nepali Congress,912,Elected
23259,Province 5,Palpa,Tansen Urban Municipality,Dalit Female Ward Member,14,41,F,Nepali Congress,897,Elected
23260,Province 5,Palpa,Tinau Rural Municipality,Mayor,  ,49,M,Communist Party of Nepal (UML),2810,Elected
23261,Province 5,Palpa,Tinau Rural Municipality,Vice-Mayor,  ,48,F,Communist Party of Nepal (UML),2816,Elected
23262,Province 5,Palpa,Tinau Rural Municipality,Ward President,1,44,M,Communist Party of Nepal (UML),779,Elected
23263,Province 5,Palpa,Tinau Rural Municipality,Ward Member,1,29,M,Communist Party of Nepal (UML),791,Elected
23264,Province 5,Palpa,Tinau Rural Municipality,Ward Member,1,48,M,Communist Party of Nepal (UML),774,Elected
23265,Province 5,Palpa,Tinau Rural Municipality,Female Ward Member,1,32,F,Communist Party of Nepal (UML),794,Elected
23266,Province 5,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,1,34,F,Communist Party of Nepal (UML),775,Elected
23267,Province 5,Palpa,Tinau Rural Municipality,Ward President,2,43,M,Communist Party of Nepal (Maoist Centre),628,Elected
23268,Province 5,Palpa,Tinau Rural Municipality,Ward Member,2,44,M,Communist Party of Nepal (Maoist Centre),631,Elected
23269,Province 5,Palpa,Tinau Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),569,Elected
23270,Province 5,Palpa,Tinau Rural Municipality,Female Ward Member,2,25,F,Communist Party of Nepal (Maoist Centre),599,Elected
23271,Province 5,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (Maoist Centre),617,Elected
23272,Province 5,Palpa,Tinau Rural Municipality,Ward President,3,41,M,Nepali Congress,455,Elected
23273,Province 5,Palpa,Tinau Rural Municipality,Ward Member,3,48,M,Communist Party of Nepal (Maoist Centre),452,Elected
23274,Province 5,Palpa,Tinau Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (Maoist Centre),447,Elected
23275,Province 5,Palpa,Tinau Rural Municipality,Female Ward Member,3,36,F,Communist Party of Nepal (Maoist Centre),458,Elected
23276,Province 5,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,3,60,F,Communist Party of Nepal (Maoist Centre),457,Elected
23277,Province 5,Palpa,Tinau Rural Municipality,Ward President,4,40,M,Nepali Congress,400,Elected
23278,Province 5,Palpa,Tinau Rural Municipality,Ward Member,4,49,M,Nepali Congress,366,Elected
23279,Province 5,Palpa,Tinau Rural Municipality,Ward Member,4,45,M,Nepali Congress,353,Elected
23280,Province 5,Palpa,Tinau Rural Municipality,Female Ward Member,4,31,F,Nepali Congress,388,Elected
23281,Province 5,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,4,29,F,Nepali Congress,379,Elected
23282,Province 5,Palpa,Tinau Rural Municipality,Ward President,5,64,M,Communist Party of Nepal (UML),473,Elected
23283,Province 5,Palpa,Tinau Rural Municipality,Ward Member,5,38,M,Communist Party of Nepal (UML),483,Elected
23284,Province 5,Palpa,Tinau Rural Municipality,Ward Member,5,48,M,Communist Party of Nepal (UML),477,Elected
23285,Province 5,Palpa,Tinau Rural Municipality,Female Ward Member,5,40,F,Communist Party of Nepal (UML),485,Elected
23286,Province 5,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,5,33,F,Communist Party of Nepal (UML),478,Elected
23287,Province 5,Palpa,Tinau Rural Municipality,Ward President,6,48,M,Nepali Congress,787,Elected
23288,Province 5,Palpa,Tinau Rural Municipality,Ward Member,6,42,M,Nepali Congress,745,Elected
23289,Province 5,Palpa,Tinau Rural Municipality,Ward Member,6,29,F,Nepali Congress,741,Elected
23290,Province 5,Palpa,Tinau Rural Municipality,Female Ward Member,6,35,F,Nepali Congress,744,Elected
23291,Province 5,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,6,40,F,Nepali Congress,737,Elected
23292,Province 5,Palpa,Nisdi Rural Municipality,Mayor,  ,55,M,Communist Party of Nepal (UML),5320,Elected
23293,Province 5,Palpa,Nisdi Rural Municipality,Vice-Mayor,  ,43,F,Communist Party of Nepal (UML),5365,Elected
23294,Province 5,Palpa,Nisdi Rural Municipality,Ward President,1,38,M,Nepali Congress,768,Elected
23295,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,1,47,M,Nepali Congress,759,Elected
23296,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,1,42,M,Nepali Congress,755,Elected
23297,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,1,36,F,Nepali Congress,764,Elected
23298,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,1,34,F,Nepali Congress,760,Elected
23299,Province 5,Palpa,Nisdi Rural Municipality,Ward President,2,60,M,Communist Party of Nepal (UML),740,Elected
23300,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),742,Elected
23301,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,2,53,M,Communist Party of Nepal (UML),734,Elected
23302,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,2,33,F,Communist Party of Nepal (UML),735,Elected
23303,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,2,39,F,Communist Party of Nepal (UML),655,Elected
23304,Province 5,Palpa,Nisdi Rural Municipality,Ward President,3,46,M,Communist Party of Nepal (UML),824,Elected
23305,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,3,45,M,Communist Party of Nepal (UML),818,Elected
23306,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,3,59,M,Communist Party of Nepal (UML),806,Elected
23307,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,3,26,F,Communist Party of Nepal (UML),826,Elected
23308,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,3,28,F,Communist Party of Nepal (UML),0,Unopposed
23309,Province 5,Palpa,Nisdi Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (UML),997,Elected
23310,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (UML),980,Elected
23311,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,4,36,M,Communist Party of Nepal (UML),967,Elected
23312,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,4,32,F,Communist Party of Nepal (UML),994,Elected
23313,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,4,44,F,Communist Party of Nepal (UML),989,Elected
23314,Province 5,Palpa,Nisdi Rural Municipality,Ward President,5,46,M,Communist Party of Nepal (UML),912,Elected
23315,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),935,Elected
23316,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,5,53,M,Communist Party of Nepal (UML),912,Elected
23317,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,5,46,F,Communist Party of Nepal (UML),942,Elected
23318,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,5,41,F,Communist Party of Nepal (UML),939,Elected
23319,Province 5,Palpa,Nisdi Rural Municipality,Ward President,6,36,M,Communist Party of Nepal (UML),796,Elected
23320,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),786,Elected
23321,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),785,Elected
23322,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,6,40,F,Communist Party of Nepal (UML),798,Elected
23323,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,6,22,F,Communist Party of Nepal (UML),796,Elected
23324,Province 5,Palpa,Nisdi Rural Municipality,Ward President,7,42,M,Nepali Congress,675,Elected
23325,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,7,55,M,Nepali Congress,687,Elected
23326,Province 5,Palpa,Nisdi Rural Municipality,Ward Member,7,55,M,Nepali Congress,686,Elected
23327,Province 5,Palpa,Nisdi Rural Municipality,Female Ward Member,7,38,F,Nepali Congress,683,Elected
23328,Province 5,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,7,60,F,Nepali Congress,688,Elected
23329,Province 5,Palpa,Purbakhola Rural Municipality,Mayor,  ,48,M,Communist Party of Nepal (UML),5636,Elected
23330,Province 5,Palpa,Purbakhola Rural Municipality,Vice-Mayor,  ,47,F,Communist Party of Nepal (UML),5531,Elected
23331,Province 5,Palpa,Purbakhola Rural Municipality,Ward President,1,62,M,Communist Party of Nepal (UML),1213,Elected
23332,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),1245,Elected
23333,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),1215,Elected
23334,Province 5,Palpa,Purbakhola Rural Municipality,Female Ward Member,1,73,F,Communist Party of Nepal (UML),1228,Elected
23335,Province 5,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,1,33,F,Communist Party of Nepal (UML),1221,Elected
23336,Province 5,Palpa,Purbakhola Rural Municipality,Ward President,2,36,M,Communist Party of Nepal (UML),882,Elected
23337,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,2,63,M,Communist Party of Nepal (UML),890,Elected
23338,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,2,61,M,Communist Party of Nepal (UML),850,Elected
23339,Province 5,Palpa,Purbakhola Rural Municipality,Female Ward Member,2,43,F,Communist Party of Nepal (UML),888,Elected
23340,Province 5,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,2,48,F,Communist Party of Nepal (UML),886,Elected
23341,Province 5,Palpa,Purbakhola Rural Municipality,Ward President,3,54,M,Communist Party of Nepal (UML),830,Elected
23342,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,3,55,M,Communist Party of Nepal (UML),834,Elected
23343,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,3,57,M,Communist Party of Nepal (UML),820,Elected
23344,Province 5,Palpa,Purbakhola Rural Municipality,Female Ward Member,3,47,F,Communist Party of Nepal (UML),863,Elected
23345,Province 5,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,3,53,F,Communist Party of Nepal (UML),858,Elected
23346,Province 5,Palpa,Purbakhola Rural Municipality,Ward President,4,64,M,Communist Party of Nepal (UML),853,Elected
23347,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,4,27,M,Communist Party of Nepal (UML),832,Elected
23348,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,4,46,M,Communist Party of Nepal (UML),829,Elected
23349,Province 5,Palpa,Purbakhola Rural Municipality,Female Ward Member,4,29,F,Communist Party of Nepal (UML),849,Elected
23350,Province 5,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,4,35,F,Communist Party of Nepal (UML),0,Unopposed
23351,Province 5,Palpa,Purbakhola Rural Municipality,Ward President,5,55,M,Communist Party of Nepal (UML),1134,Elected
23352,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (UML),1150,Elected
23353,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),1121,Elected
23354,Province 5,Palpa,Purbakhola Rural Municipality,Female Ward Member,5,48,F,Communist Party of Nepal (UML),1145,Elected
23355,Province 5,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,5,38,F,Communist Party of Nepal (UML),1145,Elected
23356,Province 5,Palpa,Purbakhola Rural Municipality,Ward President,6,37,M,Communist Party of Nepal (UML),548,Elected
23357,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),584,Elected
23358,Province 5,Palpa,Purbakhola Rural Municipality,Ward Member,6,48,M,Communist Party of Nepal (UML),574,Elected
23359,Province 5,Palpa,Purbakhola Rural Municipality,Female Ward Member,6,41,F,Communist Party of Nepal (UML),588,Elected
23360,Province 5,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,6,48,F,Communist Party of Nepal (UML),587,Elected
23361,Province 5,Palpa,Baganaskali Rural Municipality,Mayor,  ,46,M,Nepali Congress,5594,Elected
23362,Province 5,Palpa,Baganaskali Rural Municipality,Vice-Mayor,  ,36,F,Communist Party of Nepal (UML),5555,Elected
23363,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,1,54,M,Communist Party of Nepal (UML),842,Elected
23364,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,1,66,M,Communist Party of Nepal (UML),934,Elected
23365,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,1,52,M,Communist Party of Nepal (UML),868,Elected
23366,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,1,49,F,Communist Party of Nepal (UML),949,Elected
23367,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,1,59,F,Communist Party of Nepal (UML),972,Elected
23368,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,2,65,M,Communist Party of Nepal (UML),443,Elected
23369,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,2,44,M,Communist Party of Nepal (UML),511,Elected
23370,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,2,40,M,Nepali Congress,455,Elected
23371,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,2,51,F,Nepali Congress,532,Elected
23372,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,2,31,F,Communist Party of Nepal (UML),466,Elected
23373,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,3,32,M,Communist Party of Nepal (UML),631,Elected
23374,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,3,36,M,Nepali Congress,616,Elected
23375,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,3,63,M,Communist Party of Nepal (UML),610,Elected
23376,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,3,37,F,Communist Party of Nepal (UML),630,Elected
23377,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,3,47,F,Communist Party of Nepal (UML),627,Elected
23378,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,4,37,M,Nepali Congress,547,Elected
23379,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),486,Elected
23380,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,4,57,M,Communist Party of Nepal (UML),453,Elected
23381,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,4,38,F,Communist Party of Nepal (UML),512,Elected
23382,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,4,45,F,Nepali Congress,519,Elected
23383,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,5,45,M,Communist Party of Nepal (UML),676,Elected
23384,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (UML),658,Elected
23385,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),656,Elected
23386,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,5,43,F,Communist Party of Nepal (UML),663,Elected
23387,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,5,44,F,Communist Party of Nepal (UML),672,Elected
23388,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,6,41,M,Nepali Congress,1011,Elected
23389,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),923,Elected
23390,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,6,65,M,Communist Party of Nepal (UML),920,Elected
23391,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,6,41,F,Communist Party of Nepal (UML),923,Elected
23392,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,6,35,F,Communist Party of Nepal (UML),925,Elected
23393,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,7,52,M,Nepali Congress,599,Elected
23394,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,7,49,F,Nepali Congress,613,Elected
23395,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,7,36,M,Nepali Congress,609,Elected
23396,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,7,45,F,Nepali Congress,616,Elected
23397,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,7,38,F,Nepali Congress,607,Elected
23398,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,8,67,M,Nepali Congress,310,Elected
23399,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,8,65,M,Nepali Congress,315,Elected
23400,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,8,29,M,Nepali Congress,302,Elected
23401,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,8,49,F,Nepali Congress,315,Elected
23402,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,8,28,F,Nepali Congress,313,Elected
23403,Province 5,Palpa,Baganaskali Rural Municipality,Ward President,9,48,M,Nepali Congress,519,Elected
23404,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,9,51,M,Nepali Congress,511,Elected
23405,Province 5,Palpa,Baganaskali Rural Municipality,Ward Member,9,66,M,Nepali Congress,503,Elected
23406,Province 5,Palpa,Baganaskali Rural Municipality,Female Ward Member,9,38,F,Nepali Congress,490,Elected
23407,Province 5,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,9,42,F,Nepali Congress,510,Elected
23408,Province 5,Palpa,Mathagadhi Rural Municipality,Mayor,  ,34,M,Nepali Congress,5799,Elected
23409,Province 5,Palpa,Mathagadhi Rural Municipality,Vice-Mayor,  ,36,F,Nepali Congress,5431,Elected
23410,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,1,68,M,Nepali Congress,951,Elected
23411,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,1,47,M,Nepali Congress,847,Elected
23412,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,1,61,M,Nepali Congress,821,Elected
23413,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,1,58,F,Nepali Congress,897,Elected
23414,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,1,59,F,Nepali Congress,907,Elected
23415,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,2,34,M,Nepali Congress,512,Elected
23416,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,2,62,M,Nepali Congress,485,Elected
23417,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,2,29,M,Nepali Congress,479,Elected
23418,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,2,40,F,Nepali Congress,508,Elected
23419,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,2,30,F,Nepali Congress,499,Elected
23420,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,3,34,M,Nepali Congress,1229,Elected
23421,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,3,27,M,Nepali Congress,1180,Elected
23422,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,3,37,M,Nepali Congress,1174,Elected
23423,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,3,39,F,Nepali Congress,1200,Elected
23424,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,3,30,F,Nepali Congress,1189,Elected
23425,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,4,33,M,Nepali Congress,809,Elected
23426,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,4,55,M,Nepali Congress,799,Elected
23427,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,4,41,M,Nepali Congress,796,Elected
23428,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,4,31,F,Nepali Congress,807,Elected
23429,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,4,33,F,Nepali Congress,799,Elected
23430,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,5,35,M,Nepali Congress,470,Elected
23431,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,5,50,M,Nepali Congress,480,Elected
23432,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,5,44,M,Nepali Congress,469,Elected
23433,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,5,28,F,Nepali Congress,477,Elected
23434,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,5,31,F,Nepali Congress,474,Elected
23435,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,6,66,M,Nepali Congress,685,Elected
23436,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,6,51,M,Nepali Congress,687,Elected
23437,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,6,58,M,Nepali Congress,672,Elected
23438,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,6,26,F,Nepali Congress,679,Elected
23439,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,6,36,F,Nepali Congress,686,Elected
23440,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,7,55,M,Nepali Congress,552,Elected
23441,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,7,42,M,Nepali Congress,565,Elected
23442,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,7,53,M,Nepali Congress,539,Elected
23443,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,7,45,F,Nepali Congress,566,Elected
23444,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,7,27,F,Nepali Congress,562,Elected
23445,Province 5,Palpa,Mathagadhi Rural Municipality,Ward President,8,44,M,Nepali Congress,382,Elected
23446,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,8,31,M,Nepali Congress,382,Elected
23447,Province 5,Palpa,Mathagadhi Rural Municipality,Ward Member,8,51,M,Nepali Congress,382,Elected
23448,Province 5,Palpa,Mathagadhi Rural Municipality,Female Ward Member,8,28,F,Nepali Congress,382,Elected
23449,Province 5,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,8,38,F,Nepali Congress,387,Elected
23450,Province 5,Palpa,Rambha Rural Municipality,Mayor,  ,48,M,Communist Party of Nepal (UML),4767,Elected
23451,Province 5,Palpa,Rambha Rural Municipality,Vice-Mayor,  ,50,F,Communist Party of Nepal (UML),4804,Elected
