District,21-40,41-60,60+
Bhojpur,4,5,0
Dhankuta,4,3,0
Illam,2,8,0
Jhapa,0,14,2
Khotang,5,5,0
Morang,1,13,3
Okhaldhunga,1,5,2
Pachthar,0,10,6
Sankhuwasawa,4,5,2
Solukhumbu,5,3,0
Sunsari,2,8,2
Taplejung,1,7,1
Therathum,2,4,0
Udayapur,1,7,0
