District,Male Count,Female Count,Total,Malepct,Femalepct
Gulmi,12,0,12,100.00,0.00
Palpa,10,0,10,100.00,0.00
Arghakhanchi,6,0,6,100.00,0.00
Rupandehi,16,0,16,100.00,0.00
Kapilbastu,10,0,10,100.00,0.00
Rukum (East),2,1,3,66.67,33.33
Rolpa,10,0,10,100.00,0.00
Pyuthan,9,0,9,100.00,0.00
Dang,10,0,10,100.00,0.00
Banke,8,0,8,100.00,0.00
Bardiya,8,0,8,100.00,0.00
Nawalparasi (West),7,0,7,100.00,0.00
