District,Male Count,Female Count
Dolakha,9,0
Ramechhap,8,0
Sindhuli,8,1
Rasuwa,4,1
Dhading,13,0
Nuwakot,12,0
Kathmandu,11,0
Bhaktapur,4,0
Lalitpur,6,0
Kavrepalanchok,13,0
Sindhupalchok,12,0
Makwanpur,10,0
Chitawan,4,3
