District,21-40,41-60,60+
Bara,4,10,2
Dhanusha,5,10,3
Mohattari,3,12,0
Parsa,6,6,2
Rautahat,5,12,1
Saptari,6,7,5
Sarlahi,3,13,4
Siraha,4,7,7
