District,21-40,41-60,60+,Total,21-40pct,41-60pct,60+pct
Arghakhanchi,0,5,1,6,0.00,83.33,16.67
Banke,0,7,1,8,0.00,87.50,12.50
Bardiya,3,5,0,8,37.50,62.50,0.00
Dang,0,7,3,10,0.00,70.00,30.00
Gulmi,2,4,6,12,16.67,33.33,50.00
Kapilbastu,2,6,3,11,18.18,54.55,27.27
Nawalparasi (West),2,5,0,7,28.57,71.43,0.00
Palpa,1,9,0,10,10.00,90.00,0.00
Pyuthan,2,6,1,9,22.22,66.67,11.11
Rolpa,1,9,0,10,10.00,90.00,0.00
Rukum (East),1,1,1,3,33.33,33.33,33.33
Rupandehi,3,11,3,17,17.65,64.71,17.65
