District,Male Count,Female Count,Total,Malepct,Femalepct
Bajura,9,0,9,100.00,0.00
Achham,10,0,10,100.00,0.00
Bajhang,12,0,12,100.00,0.00
Doti,8,1,9,88.89,11.11
Kailali,13,0,13,100.00,0.00
Darchula,9,0,9,100.00,0.00
Baitadi,10,0,10,100.00,0.00
Dadeldhura,6,1,7,85.71,14.29
Kanchanpur,9,0,9,100.00,0.00
