District,21-40,41-60,60+,Total,21-40pct,41-60pct,60+pct
Achham,4,4,2,10,40.00,40.00,20.00
Baitadi,1,7,2,10,10.00,70.00,20.00
Bajhang,3,8,1,12,25.00,66.67,8.33
Bajura,3,5,1,9,33.33,55.56,11.11
Dadeldhura,3,4,0,7,42.86,57.14,0.00
Darchula,3,6,0,9,33.33,66.67,0.00
Doti,2,6,1,9,22.22,66.67,11.11
Kailali,4,8,1,13,30.77,61.54,7.69
Kanchanpur,3,4,2,9,33.33,44.44,22.22
