District,21-40,41-60,60+
Achham,4,4,2
Baitadi,1,7,2
Bajhang,3,8,1
Bajura,3,5,1
Dadeldhura,3,4,0
Darchula,3,6,0
Doti,2,6,1
Kailali,4,8,1
Kanchanpur,3,4,2
