District,21-40,41-60,60+
Baglung,4,6,1
Gorkha,2,7,2
Kaski,1,4,0
Lamjung,1,6,2
Manang,1,3,0
Mustang,0,3,2
Myagdi,1,4,2
Nawalparasi (East),0,6,2
Parbat,2,5,0
Syangja,2,7,2
Tanahu,1,8,2
