District,21-40,41-60,60+
Bhaktapur,0,4,0
Chitawan,0,6,1
Dhading,1,10,2
Dolakha,1,8,0
Kathmandu,0,10,1
Kavrepalanchok,2,8,3
Lalitpur,1,4,1
Makwanpur,3,7,0
Nuwakot,1,11,1
Ramechhap,0,8,0
Rasuwa,2,3,0
Sindhuli,2,6,1
Sindhupalchok,1,11,1
