SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
55,Saptari,Kanchanrup Urban Municipality,Ward President,5,,M,Nepali Congress,441,Elected,,
56,Saptari,Kanchanrup Urban Municipality,Ward Member,5,,M,Nepali Congress,427,Elected,,
57,Saptari,Kanchanrup Urban Municipality,Ward Member,5,,M,Nepali Congress,409,Elected,,
58,Saptari,Kanchanrup Urban Municipality,Female Ward Member,5,,F,Nepali Congress,433,Elected,,
59,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,5,,F,Nepali Congress,435,Elected,,
60,Saptari,Kanchanrup Urban Municipality,Ward President,6,,M,Nepali Congress,572,Elected,,
61,Saptari,Kanchanrup Urban Municipality,Ward Member,6,,M,Nepali Congress,566,Elected,,
62,Saptari,Kanchanrup Urban Municipality,Ward Member,6,,M,Nepali Congress,561,Elected,,
63,Saptari,Kanchanrup Urban Municipality,Female Ward Member,6,,F,Nepali Congress,605,Elected,,
64,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,6,,F,Nepali Congress,570,Elected,,
65,Saptari,Kanchanrup Urban Municipality,Ward President,7,,M,"Rastriya Janata Party, Nepal",490,Elected,,
66,Saptari,Kanchanrup Urban Municipality,Ward Member,7,,F,"Rastriya Janata Party, Nepal",538,Elected,,
67,Saptari,Kanchanrup Urban Municipality,Ward Member,7,,M,"Rastriya Janata Party, Nepal",521,Elected,,
68,Saptari,Kanchanrup Urban Municipality,Female Ward Member,7,,F,"Rastriya Janata Party, Nepal",583,Elected,,
69,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,7,,F,"Rastriya Janata Party, Nepal",562,Elected,,
70,Saptari,Kanchanrup Urban Municipality,Ward President,8,,M,Communist Party of Nepal (UML),667,Elected,,
71,Saptari,Kanchanrup Urban Municipality,Ward Member,8,,M,Communist Party of Nepal (UML),632,Elected,,
72,Saptari,Kanchanrup Urban Municipality,Ward Member,8,,M,Communist Party of Nepal (UML),583,Elected,,
73,Saptari,Kanchanrup Urban Municipality,Female Ward Member,8,,F,Communist Party of Nepal (UML),640,Elected,,
74,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,8,,F,Communist Party of Nepal (UML),641,Elected,,
75,Saptari,Kanchanrup Urban Municipality,Ward President,9,,M,Communist Party of Nepal (UML),376,Elected,,
76,Saptari,Kanchanrup Urban Municipality,Ward Member,9,,M,Communist Party of Nepal (UML),376,Elected,,
77,Saptari,Kanchanrup Urban Municipality,Ward Member,9,,M,Nepal Loktantric Forum,344,Elected,,
78,Saptari,Kanchanrup Urban Municipality,Female Ward Member,9,,F,Communist Party of Nepal (UML),386,Elected,,
79,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,9,,F,Communist Party of Nepal (UML),387,Elected,,
80,Saptari,Kanchanrup Urban Municipality,Ward President,10,,M,Communist Party of Nepal (Maoist Centre),360,Elected,,
81,Saptari,Kanchanrup Urban Municipality,Ward Member,10,,M,Sanghiya Samajbadi Forum-Nepal (SSFN),321,Elected,,
82,Saptari,Kanchanrup Urban Municipality,Ward Member,10,,F,Communist Party of Nepal (Maoist Centre),320,Elected,,
83,Saptari,Kanchanrup Urban Municipality,Female Ward Member,10,,F,Sanghiya Samajbadi Forum-Nepal (SSFN),323,Elected,,
84,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,10,,F,Sanghiya Samajbadi Forum-Nepal (SSFN),334,Elected,,
85,Saptari,Kanchanrup Urban Municipality,Ward President,11,,M,Nepal Loktantric Forum,608,Elected,,
86,Saptari,Kanchanrup Urban Municipality,Ward Member,11,,M,Nepal Loktantric Forum,589,Elected,,
87,Saptari,Kanchanrup Urban Municipality,Ward Member,11,,M,Nepal Loktantric Forum,528,Elected,,
88,Saptari,Kanchanrup Urban Municipality,Female Ward Member,11,,F,Nepal Loktantric Forum,574,Elected,,
89,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,11,,F,Nepal Loktantric Forum,578,Elected,,
90,Saptari,Kanchanrup Urban Municipality,Ward President,12,,M,Communist Party of Nepal (UML),766,Elected,,
91,Saptari,Kanchanrup Urban Municipality,Ward Member,12,,M,Communist Party of Nepal (UML),842,Elected,,
92,Saptari,Kanchanrup Urban Municipality,Ward Member,12,,M,Communist Party of Nepal (UML),780,Elected,,
93,Saptari,Kanchanrup Urban Municipality,Female Ward Member,12,,F,Communist Party of Nepal (UML),848,Elected,,
94,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,12,,F,Communist Party of Nepal (UML),834,Elected,,
95,Saptari,Khadak Urban Municipality,Mayor,,27,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,128",Elected,,
96,Saptari,Khadak Urban Municipality,Vice Mayor,,40,F,Nepali Congress,"3,237",Elected,,
97,Saptari,Khadak Urban Municipality,Ward President,1,40,M,Nepali Congress,567,Elected,,
98,Saptari,Khadak Urban Municipality,Ward Member,1,33,M,Nepali Congress,596,Elected,,
99,Saptari,Khadak Urban Municipality,Ward Member,1,50,M,Nepali Congress,537,Elected,,
100,Saptari,Khadak Urban Municipality,Female Ward Member,1,33,F,Nepali Congress,557,Elected,,
101,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,1,33,F,Nepali Congress,556,Elected,,
102,Saptari,Khadak Urban Municipality,Ward President,2,47,M,Nepali Congress,202,Elected,,
103,Saptari,Khadak Urban Municipality,Ward Member,2,58,M,Communist Party of Nepal (UML),229,Elected,,
104,Saptari,Khadak Urban Municipality,Ward Member,2,68,M,Communist Party of Nepal (UML),191,Elected,,
105,Saptari,Khadak Urban Municipality,Female Ward Member,2,47,F,Communist Party of Nepal (UML),188,Elected,,
