SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
1577,Siraha,Siraha Municipality,Ward President,7,49,M,Communist Party of Nepal (UML),380,Elected,,
1578,Siraha,Siraha Municipality,Ward Member,7,59,M,Communist Party of Nepal (UML),415,Elected,,
1579,Siraha,Siraha Municipality,Ward Member,7,53,M,Communist Party of Nepal (UML),406,Elected,,
1580,Siraha,Siraha Municipality,Female Ward Member,7,38,F,Communist Party of Nepal (UML),434,Elected,,
1581,Siraha,Siraha Municipality,Dalit Female Ward Member,7,48,F,Communist Party of Nepal (UML),421,Elected,,
1582,Siraha,Siraha Municipality,Ward President,8,27,M,Sanghiya Samajbadi Forum-Nepal (SSFN),443,Elected,,
1583,Siraha,Siraha Municipality,Ward Member,8,51,M,Sanghiya Samajbadi Forum-Nepal (SSFN),439,Elected,,
1584,Siraha,Siraha Municipality,Ward Member,8,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),405,Elected,,
1585,Siraha,Siraha Municipality,Female Ward Member,8,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),452,Elected,,
1586,Siraha,Siraha Municipality,Dalit Female Ward Member,8,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),459,Elected,,
1587,Siraha,Siraha Municipality,Ward President,9,58,M,Communist Party of Nepal (UML),663,Elected,,
1588,Siraha,Siraha Municipality,Ward Member,9,35,M,Communist Party of Nepal (UML),674,Elected,,
1589,Siraha,Siraha Municipality,Ward Member,9,48,M,Communist Party of Nepal (UML),664,Elected,,
1590,Siraha,Siraha Municipality,Female Ward Member,9,35,F,Communist Party of Nepal (UML),652,Elected,,
1591,Siraha,Siraha Municipality,Dalit Female Ward Member,9,52,F,Communist Party of Nepal (UML),654,Elected,,
1592,Siraha,Siraha Municipality,Ward President,10,63,M,Sanghiya Samajbadi Forum-Nepal (SSFN),504,Elected,,
1593,Siraha,Siraha Municipality,Ward Member,10,48,M,Sanghiya Samajbadi Forum-Nepal (SSFN),477,Elected,,
1594,Siraha,Siraha Municipality,Ward Member,10,58,M,Sanghiya Samajbadi Forum-Nepal (SSFN),474,Elected,,
1595,Siraha,Siraha Municipality,Female Ward Member,10,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),484,Elected,,
1596,Siraha,Siraha Municipality,Dalit Female Ward Member,10,33,F,Sanghiya Samajbadi Forum-Nepal (SSFN),488,Elected,,
1597,Siraha,Siraha Municipality,Ward President,11,46,M,Sanghiya Samajbadi Forum-Nepal (SSFN),637,Elected,,
1598,Siraha,Siraha Municipality,Ward Member,11,70,M,Sanghiya Samajbadi Forum-Nepal (SSFN),576,Elected,,
1599,Siraha,Siraha Municipality,Ward Member,11,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),574,Elected,,
1600,Siraha,Siraha Municipality,Female Ward Member,11,69,F,Sanghiya Samajbadi Forum-Nepal (SSFN),618,Elected,,
1601,Siraha,Siraha Municipality,Dalit Female Ward Member,11,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),628,Elected,,
1602,Siraha,Siraha Municipality,Ward President,12,48,M,Sanghiya Samajbadi Forum-Nepal (SSFN),710,Elected,,
1603,Siraha,Siraha Municipality,Ward Member,12,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),630,Elected,,
1604,Siraha,Siraha Municipality,Ward Member,12,46,M,Nepali Congress,586,Elected,,
1605,Siraha,Siraha Municipality,Female Ward Member,12,63,F,Sanghiya Samajbadi Forum-Nepal (SSFN),655,Elected,,
1606,Siraha,Siraha Municipality,Dalit Female Ward Member,12,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),644,Elected,,
1607,Siraha,Siraha Municipality,Ward President,13,32,M,Communist Party of Nepal (UML),441,Elected,,
1608,Siraha,Siraha Municipality,Ward Member,13,45,M,Nepali Congress,414,Elected,,
1609,Siraha,Siraha Municipality,Ward Member,13,57,M,Nepali Congress,409,Elected,,
1610,Siraha,Siraha Municipality,Female Ward Member,13,56,F,Nepali Congress,422,Elected,,
1611,Siraha,Siraha Municipality,Dalit Female Ward Member,13,37,F,Communist Party of Nepal (UML),423,Elected,,
1612,Siraha,Siraha Municipality,Ward President,14,57,M,Sanghiya Samajbadi Forum-Nepal (SSFN),591,Elected,,
1613,Siraha,Siraha Municipality,Ward Member,14,58,M,Sanghiya Samajbadi Forum-Nepal (SSFN),579,Elected,,
1614,Siraha,Siraha Municipality,Ward Member,14,41,M,Sanghiya Samajbadi Forum-Nepal (SSFN),554,Elected,,
1615,Siraha,Siraha Municipality,Female Ward Member,14,29,F,Sanghiya Samajbadi Forum-Nepal (SSFN),607,Elected,,
1616,Siraha,Siraha Municipality,Dalit Female Ward Member,14,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),584,Elected,,
1617,Siraha,Siraha Municipality,Ward President,15,55,M,Nepali Congress,312,Elected,,
1618,Siraha,Siraha Municipality,Ward Member,15,65,M,Nepali Congress,310,Elected,,
1619,Siraha,Siraha Municipality,Ward Member,15,56,M,Nepali Congress,301,Elected,,
1620,Siraha,Siraha Municipality,Female Ward Member,15,52,F,Independent,254,Elected,,
1621,Siraha,Siraha Municipality,Dalit Female Ward Member,15,46,F,Nepali Congress,305,Elected,,
1622,Siraha,Siraha Municipality,Ward President,16,36,M,Communist Party of Nepal (UML),843,Elected,,
1623,Siraha,Siraha Municipality,Ward Member,16,51,M,Communist Party of Nepal (UML),788,Elected,,
1624,Siraha,Siraha Municipality,Ward Member,16,54,M,Communist Party of Nepal (UML),778,Elected,,
1625,Siraha,Siraha Municipality,Female Ward Member,16,33,F,Communist Party of Nepal (UML),812,Elected,,
1626,Siraha,Siraha Municipality,Dalit Female Ward Member,16,32,F,Communist Party of Nepal (UML),805,Elected,,
1627,Siraha,Siraha Municipality,Ward President,17,63,M,Sanghiya Samajbadi Forum-Nepal (SSFN),480,Elected,,
1628,Siraha,Siraha Municipality,Ward Member,17,52,M,Sanghiya Samajbadi Forum-Nepal (SSFN),504,Elected,,
1629,Siraha,Siraha Municipality,Ward Member,17,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),476,Elected,,
1630,Siraha,Siraha Municipality,Female Ward Member,17,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),485,Elected,,
1631,Siraha,Siraha Municipality,Dalit Female Ward Member,17,33,F,Sanghiya Samajbadi Forum-Nepal (SSFN),494,Elected,,
1632,Siraha,Siraha Municipality,Ward President,18,45,M,Communist Party of Nepal (UML),686,Elected,,
1633,Siraha,Siraha Municipality,Ward Member,18,50,M,Communist Party of Nepal (UML),675,Elected,,
1634,Siraha,Siraha Municipality,Ward Member,18,65,M,Communist Party of Nepal (UML),656,Elected,,
1635,Siraha,Siraha Municipality,Female Ward Member,18,63,F,Communist Party of Nepal (UML),669,Elected,,
1636,Siraha,Siraha Municipality,Dalit Female Ward Member,18,38,F,Communist Party of Nepal (UML),669,Elected,,
1637,Siraha,Siraha Municipality,Ward President,19,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),651,Elected,,
1638,Siraha,Siraha Municipality,Ward Member,19,34,M,Sanghiya Samajbadi Forum-Nepal (SSFN),645,Elected,,
1639,Siraha,Siraha Municipality,Ward Member,19,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),631,Elected,,
1640,Siraha,Siraha Municipality,Female Ward Member,19,54,F,Sanghiya Samajbadi Forum-Nepal (SSFN),632,Elected,,
1641,Siraha,Siraha Municipality,Dalit Female Ward Member,19,31,F,Sanghiya Samajbadi Forum-Nepal (SSFN),632,Elected,,
1642,Siraha,Siraha Municipality,Ward President,20,41,M,Nepali Congress,712,Elected,,
1643,Siraha,Siraha Municipality,Ward Member,20,36,M,Nepali Congress,711,Elected,,
1644,Siraha,Siraha Municipality,Ward Member,20,57,M,Nepali Congress,706,Elected,,
1645,Siraha,Siraha Municipality,Female Ward Member,20,59,F,Nepali Congress,764,Elected,,
1646,Siraha,Siraha Municipality,Dalit Female Ward Member,20,35,F,Nepali Congress,719,Elected,,
1647,Siraha,Siraha Municipality,Ward President,21,41,M,Nepali Congress,479,Elected,,
1648,Siraha,Siraha Municipality,Ward Member,21,46,M,Nepali Congress,469,Elected,,
1649,Siraha,Siraha Municipality,Ward Member,21,53,M,Nepali Congress,457,Elected,,
1650,Siraha,Siraha Municipality,Female Ward Member,21,47,F,Nepali Congress,475,Elected,,
1651,Siraha,Siraha Municipality,Dalit Female Ward Member,21,58,F,Nepali Congress,480,Elected,,
1652,Siraha,Siraha Municipality,Ward President,22,58,M,Nepali Congress,598,Elected,,
1653,Siraha,Siraha Municipality,Ward Member,22,62,M,Nepali Congress,597,Elected,,
1654,Siraha,Siraha Municipality,Ward Member,22,58,M,Sanghiya Samajbadi Forum-Nepal (SSFN),563,Elected,,
1655,Siraha,Siraha Municipality,Female Ward Member,22,54,F,Nepali Congress,600,Elected,,
1656,Siraha,Siraha Municipality,Dalit Female Ward Member,22,61,F,Nepali Congress,593,Elected,,
1657,Siraha,Sukhipur Municipality,Mayor,,55,M,Communist Party of Nepal (UML),"6,111",Elected,,
1658,Siraha,Sukhipur Municipality,Vice Mayor,,49,F,Communist Party of Nepal (UML),"6,086",Elected,,
1659,Siraha,Sukhipur Municipality,Ward President,1,56,M,Communist Party of Nepal (Maoist Centre),737,Elected,,
1660,Siraha,Sukhipur Municipality,Ward Member,1,58,M,Communist Party of Nepal (Maoist Centre),692,Elected,,
1661,Siraha,Sukhipur Municipality,Ward Member,1,70,M,Communist Party of Nepal (Maoist Centre),687,Elected,,
1662,Siraha,Sukhipur Municipality,Female Ward Member,1,47,F,Communist Party of Nepal (Maoist Centre),730,Elected,,
1663,Siraha,Sukhipur Municipality,Dalit Female Ward Member,1,40,F,Communist Party of Nepal (Maoist Centre),718,Elected,,
1664,Siraha,Sukhipur Municipality,Ward President,2,57,M,Nepali Congress,518,Elected,,
1665,Siraha,Sukhipur Municipality,Ward Member,2,51,M,Nepali Congress,554,Elected,,
1666,Siraha,Sukhipur Municipality,Ward Member,2,44,M,Nepali Congress,549,Elected,,
1667,Siraha,Sukhipur Municipality,Female Ward Member,2,46,F,Nepali Congress,571,Elected,,
1668,Siraha,Sukhipur Municipality,Dalit Female Ward Member,2,64,F,Nepali Congress,557,Elected,,
1669,Siraha,Sukhipur Municipality,Ward President,3,41,M,Nepali Congress,576,Elected,,
1670,Siraha,Sukhipur Municipality,Ward Member,3,48,M,Sanghiya Samajbadi Forum-Nepal (SSFN),457,Elected,,
1671,Siraha,Sukhipur Municipality,Ward Member,3,60,M,Nepali Congress,445,Elected,,
1672,Siraha,Sukhipur Municipality,Female Ward Member,3,59,F,Sanghiya Samajbadi Forum-Nepal (SSFN),454,Elected,,
1673,Siraha,Sukhipur Municipality,Dalit Female Ward Member,3,68,F,Sanghiya Samajbadi Forum-Nepal (SSFN),460,Elected,,
1674,Siraha,Sukhipur Municipality,Ward President,4,55,M,Communist Party of Nepal (UML),688,Elected,,
1675,Siraha,Sukhipur Municipality,Ward Member,4,47,M,Communist Party of Nepal (UML),706,Elected,,
1676,Siraha,Sukhipur Municipality,Ward Member,4,70,M,Communist Party of Nepal (UML),696,Elected,,
1677,Siraha,Sukhipur Municipality,Female Ward Member,4,31,F,Communist Party of Nepal (UML),699,Elected,,
1678,Siraha,Sukhipur Municipality,Dalit Female Ward Member,4,47,F,Communist Party of Nepal (UML),701,Elected,,
1679,Siraha,Sukhipur Municipality,Ward President,5,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),616,Elected,,
1680,Siraha,Sukhipur Municipality,Ward Member,5,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),603,Elected,,
1681,Siraha,Sukhipur Municipality,Ward Member,5,65,M,Sanghiya Samajbadi Forum-Nepal (SSFN),583,Elected,,
1682,Siraha,Sukhipur Municipality,Female Ward Member,5,57,F,Sanghiya Samajbadi Forum-Nepal (SSFN),615,Elected,,
1683,Siraha,Sukhipur Municipality,Dalit Female Ward Member,5,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),607,Elected,,
1684,Siraha,Sukhipur Municipality,Ward President,6,41,M,Communist Party of Nepal (UML),904,Elected,,
1685,Siraha,Sukhipur Municipality,Ward Member,6,46,M,Communist Party of Nepal (UML),924,Elected,,
1686,Siraha,Sukhipur Municipality,Ward Member,6,48,M,Communist Party of Nepal (UML),917,Elected,,
1687,Siraha,Sukhipur Municipality,Female Ward Member,6,56,F,Communist Party of Nepal (UML),928,Elected,,
1688,Siraha,Sukhipur Municipality,Dalit Female Ward Member,6,56,F,Communist Party of Nepal (UML),922,Elected,,
1689,Siraha,Sukhipur Municipality,Ward President,7,37,M,Communist Party of Nepal (UML),804,Elected,,
1690,Siraha,Sukhipur Municipality,Ward Member,7,50,M,Communist Party of Nepal (UML),754,Elected,,
1691,Siraha,Sukhipur Municipality,Ward Member,7,41,M,Communist Party of Nepal (UML),735,Elected,,
1692,Siraha,Sukhipur Municipality,Female Ward Member,7,25,F,Communist Party of Nepal (UML),767,Elected,,
1693,Siraha,Sukhipur Municipality,Dalit Female Ward Member,7,29,F,Communist Party of Nepal (UML),771,Elected,,
1694,Siraha,Sukhipur Municipality,Ward President,8,44,M,Communist Party of Nepal (UML),605,Elected,,
1695,Siraha,Sukhipur Municipality,Ward Member,8,34,M,Communist Party of Nepal (UML),640,Elected,,
1696,Siraha,Sukhipur Municipality,Ward Member,8,42,M,Communist Party of Nepal (UML),608,Elected,,
1697,Siraha,Sukhipur Municipality,Female Ward Member,8,44,F,Communist Party of Nepal (UML),641,Elected,,
1698,Siraha,Sukhipur Municipality,Dalit Female Ward Member,8,54,F,Communist Party of Nepal (UML),642,Elected,,
1699,Siraha,Sukhipur Municipality,Ward President,9,43,M,Communist Party of Nepal (UML),501,Elected,,
1700,Siraha,Sukhipur Municipality,Ward Member,9,56,M,Communist Party of Nepal (UML),501,Elected,,
1701,Siraha,Sukhipur Municipality,Ward Member,9,29,M,Communist Party of Nepal (UML),480,Elected,,
1702,Siraha,Sukhipur Municipality,Female Ward Member,9,57,F,Communist Party of Nepal (UML),509,Elected,,
1703,Siraha,Sukhipur Municipality,Dalit Female Ward Member,9,49,F,Communist Party of Nepal (UML),508,Elected,,
1704,Siraha,Sukhipur Municipality,Ward President,10,57,M,"Rastriya Janata Party, Nepal",564,Elected,,
1705,Siraha,Sukhipur Municipality,Ward Member,10,60,M,Communist Party of Nepal (UML),514,Elected,,
1706,Siraha,Sukhipur Municipality,Ward Member,10,61,M,"Rastriya Janata Party, Nepal",507,Elected,,
1707,Siraha,Sukhipur Municipality,Female Ward Member,10,37,F,Communist Party of Nepal (UML),558,Elected,,
1708,Siraha,Sukhipur Municipality,Dalit Female Ward Member,10,35,F,Communist Party of Nepal (UML),542,Elected,,
1709,Dhanusha,Aurahi Rural Municipality,Mayor,,40,M,Nepali Congress,"2,569",Elected,,
1710,Dhanusha,Aurahi Rural Municipality,Vice-Mayor,,37,F,Nepali Congress,"2,494",Elected,,
1711,Dhanusha,Aurahi Rural Municipality,Ward President,1,49,M,Nepali Congress,693,Elected,,
1712,Dhanusha,Aurahi Rural Municipality,Ward Member,1,65,M,Nepali Congress,648,Elected,,
1713,Dhanusha,Aurahi Rural Municipality,Ward Member,1,35,M,Nepali Congress,628,Elected,,
1714,Dhanusha,Aurahi Rural Municipality,Female Ward Member,1,43,F,Nepali Congress,709,Elected,,
1715,Dhanusha,Aurahi Rural Municipality,Dalit Female Ward Member,1,53,F,Nepali Congress,697,Elected,,
1716,Dhanusha,Aurahi Rural Municipality,Ward President,2,30,M,"Rastriya Janata Party, Nepal",499,Elected,,
1717,Dhanusha,Aurahi Rural Municipality,Ward Member,2,57,M,"Rastriya Janata Party, Nepal",653,Elected,,
1718,Dhanusha,Aurahi Rural Municipality,Ward Member,2,33,M,"Rastriya Janata Party, Nepal",577,Elected,,
1719,Dhanusha,Aurahi Rural Municipality,Female Ward Member,2,30,F,"Rastriya Janata Party, Nepal",621,Elected,,
1720,Dhanusha,Aurahi Rural Municipality,Dalit Female Ward Member,2,48,F,"Rastriya Janata Party, Nepal",607,Elected,,
1721,Dhanusha,Aurahi Rural Municipality,Ward President,3,57,M,Nepali Congress,583,Elected,,
1722,Dhanusha,Aurahi Rural Municipality,Ward Member,3,35,M,Nepali Congress,513,Elected,,
1723,Dhanusha,Aurahi Rural Municipality,Ward Member,3,55,M,Nepali Congress,488,Elected,,
1724,Dhanusha,Aurahi Rural Municipality,Female Ward Member,3,51,F,Nepali Congress,539,Elected,,
1725,Dhanusha,Aurahi Rural Municipality,Dalit Female Ward Member,3,44,F,Nepali Congress,528,Elected,,
1726,Dhanusha,Aurahi Rural Municipality,Ward President,4,41,M,Communist Party of Nepal (UML),542,Elected,,
1727,Dhanusha,Aurahi Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),462,Elected,,
1728,Dhanusha,Aurahi Rural Municipality,Ward Member,4,45,M,Communist Party of Nepal (UML),462,Elected,,
1729,Dhanusha,Aurahi Rural Municipality,Female Ward Member,4,31,F,Communist Party of Nepal (UML),490,Elected,,
1730,Dhanusha,Aurahi Rural Municipality,Dalit Female Ward Member,4,37,F,Communist Party of Nepal (UML),488,Elected,,
1731,Dhanusha,Aurahi Rural Municipality,Ward President,5,31,M,Communist Party of Nepal (Maoist Centre),242,Elected,,
1732,Dhanusha,Aurahi Rural Municipality,Ward Member,5,64,M,Communist Party of Nepal (Maoist Centre),252,Elected,,
1733,Dhanusha,Aurahi Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (Maoist Centre),249,Elected,,
1734,Dhanusha,Aurahi Rural Municipality,Female Ward Member,5,55,F,Communist Party of Nepal (Maoist Centre),245,Elected,,
1735,Dhanusha,Aurahi Rural Municipality,Dalit Female Ward Member,5,43,F,Communist Party of Nepal (Maoist Centre),246,Elected,,
1736,Dhanusha,Aurahi Rural Municipality,Ward President,6,28,M,Communist Party of Nepal (Maoist Centre),350,Elected,,
1737,Dhanusha,Aurahi Rural Municipality,Ward Member,6,40,M,Communist Party of Nepal (Maoist Centre),371,Elected,,
1738,Dhanusha,Aurahi Rural Municipality,Ward Member,6,65,M,Communist Party of Nepal (Maoist Centre),371,Elected,,
1739,Dhanusha,Aurahi Rural Municipality,Female Ward Member,6,44,F,Communist Party of Nepal (Maoist Centre),366,Elected,,
1740,Dhanusha,Aurahi Rural Municipality,Dalit Female Ward Member,6,62,F,Communist Party of Nepal (Maoist Centre),360,Elected,,
1741,Dhanusha,Kamala Urban Municipality,Mayor,,51,M,Nepali Congress,"4,020",Elected,,
1742,Dhanusha,Kamala Urban Municipality,Vice Mayor,,45,F,Nepali Congress,"4,106",Elected,,
1743,Dhanusha,Kamala Urban Municipality,Ward President,1,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),482,Elected,,
1744,Dhanusha,Kamala Urban Municipality,Ward Member,1,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),461,Elected,,
1745,Dhanusha,Kamala Urban Municipality,Ward Member,1,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),424,Elected,,
1746,Dhanusha,Kamala Urban Municipality,Female Ward Member,1,27,F,Sanghiya Samajbadi Forum-Nepal (SSFN),446,Elected,,
1747,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,1,54,F,Sanghiya Samajbadi Forum-Nepal (SSFN),441,Elected,,
1748,Dhanusha,Kamala Urban Municipality,Ward President,2,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),593,Elected,,
1749,Dhanusha,Kamala Urban Municipality,Ward Member,2,64,M,Sanghiya Samajbadi Forum-Nepal (SSFN),593,Elected,,
1750,Dhanusha,Kamala Urban Municipality,Ward Member,2,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),543,Elected,,
1751,Dhanusha,Kamala Urban Municipality,Female Ward Member,2,52,F,Sanghiya Samajbadi Forum-Nepal (SSFN),603,Elected,,
1752,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,2,41,F,Sanghiya Samajbadi Forum-Nepal (SSFN),599,Elected,,
1753,Dhanusha,Kamala Urban Municipality,Ward President,3,32,M,Sanghiya Samajbadi Forum-Nepal (SSFN),448,Elected,,
1754,Dhanusha,Kamala Urban Municipality,Ward Member,3,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),447,Elected,,
1755,Dhanusha,Kamala Urban Municipality,Ward Member,3,60,M,Sanghiya Samajbadi Forum-Nepal (SSFN),440,Elected,,
1756,Dhanusha,Kamala Urban Municipality,Female Ward Member,3,31,F,Nepali Congress,357,Elected,,
1757,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,3,35,F,Sanghiya Samajbadi Forum-Nepal (SSFN),481,Elected,,
1758,Dhanusha,Kamala Urban Municipality,Ward President,4,51,M,Communist Party of Nepal (Maoist Centre),815,Elected,,
1759,Dhanusha,Kamala Urban Municipality,Ward Member,4,63,M,Communist Party of Nepal (Maoist Centre),754,Elected,,
1760,Dhanusha,Kamala Urban Municipality,Ward Member,4,63,M,Communist Party of Nepal (Maoist Centre),708,Elected,,
1761,Dhanusha,Kamala Urban Municipality,Female Ward Member,4,55,F,Communist Party of Nepal (Maoist Centre),798,Elected,,
1762,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,4,48,F,Communist Party of Nepal (Maoist Centre),805,Elected,,
1763,Dhanusha,Kamala Urban Municipality,Ward President,5,64,M,Communist Party of Nepal (UML),793,Elected,,
1764,Dhanusha,Kamala Urban Municipality,Ward Member,5,46,M,Communist Party of Nepal (UML),792,Elected,,
1765,Dhanusha,Kamala Urban Municipality,Ward Member,5,65,M,Communist Party of Nepal (UML),791,Elected,,
1766,Dhanusha,Kamala Urban Municipality,Female Ward Member,5,57,F,Communist Party of Nepal (UML),816,Elected,,
1767,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,5,48,F,Communist Party of Nepal (UML),812,Elected,,
1768,Dhanusha,Kamala Urban Municipality,Ward President,6,61,M,Nepali Congress,900,Elected,,
1769,Dhanusha,Kamala Urban Municipality,Ward Member,6,48,M,Nepali Congress,765,Elected,,
1770,Dhanusha,Kamala Urban Municipality,Ward Member,6,57,M,Nepali Congress,711,Elected,,
1771,Dhanusha,Kamala Urban Municipality,Female Ward Member,6,44,F,Nepali Congress,813,Elected,,
1772,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,6,37,F,Nepali Congress,799,Elected,,
1773,Dhanusha,Kamala Urban Municipality,Ward President,7,56,M,Nepali Congress,353,Elected,,
1774,Dhanusha,Kamala Urban Municipality,Ward Member,7,48,M,Nepali Congress,361,Elected,,
1775,Dhanusha,Kamala Urban Municipality,Ward Member,7,65,M,Nepali Congress,359,Elected,,
1776,Dhanusha,Kamala Urban Municipality,Female Ward Member,7,43,F,Nepal Loktantric Forum,337,Elected,,
1777,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,7,31,F,Nepal Loktantric Forum,327,Elected,,
1778,Dhanusha,Kamala Urban Municipality,Ward President,8,47,M,Sanghiya Samajbadi Forum-Nepal (SSFN),628,Elected,,
1779,Dhanusha,Kamala Urban Municipality,Ward Member,8,32,M,Sanghiya Samajbadi Forum-Nepal (SSFN),674,Elected,,
1780,Dhanusha,Kamala Urban Municipality,Ward Member,8,31,M,Sanghiya Samajbadi Forum-Nepal (SSFN),630,Elected,,
1781,Dhanusha,Kamala Urban Municipality,Female Ward Member,8,48,F,Sanghiya Samajbadi Forum-Nepal (SSFN),641,Elected,,
1782,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,8,50,F,Sanghiya Samajbadi Forum-Nepal (SSFN),650,Elected,,
1783,Dhanusha,Kamala Urban Municipality,Ward President,9,29,M,Nepali Congress,264,Elected,,
1784,Dhanusha,Kamala Urban Municipality,Ward Member,9,64,M,Nepali Congress,307,Elected,,
1785,Dhanusha,Kamala Urban Municipality,Ward Member,9,48,M,Nepali Congress,298,Elected,,
1786,Dhanusha,Kamala Urban Municipality,Female Ward Member,9,51,F,Nepali Congress,293,Elected,,
1787,Dhanusha,Kamala Urban Municipality,Dalit Female Ward Member,9,43,F,Nepali Congress,285,Elected,,
1788,Dhanusha,Chhireshwornath Urban Municipality,Mayor,,55,M,Nepali Congress,"5,899",Elected,,
1789,Dhanusha,Chhireshwornath Urban Municipality,Vice Mayor,,53,F,Nepali Congress,"5,701",Elected,,
1790,Dhanusha,Chhireshwornath Urban Municipality,Ward President,1,38,M,Nepali Congress,705,Elected,,
1791,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,1,46,M,Nepali Congress,601,Elected,,
1792,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,1,53,M,Nepali Congress,568,Elected,,
1793,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,1,47,F,Nepali Congress,591,Elected,,
1794,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,1,37,F,Nepali Congress,591,Elected,,
1795,Dhanusha,Chhireshwornath Urban Municipality,Ward President,2,47,M,Communist Party of Nepal (UML),350,Elected,,
1796,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,2,67,M,Communist Party of Nepal (UML),332,Elected,,
1797,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,2,56,M,Communist Party of Nepal (UML),309,Elected,,
1798,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,2,42,F,Communist Party of Nepal (UML),333,Elected,,
1799,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,2,59,F,Communist Party of Nepal (UML),336,Elected,,
1800,Dhanusha,Chhireshwornath Urban Municipality,Ward President,3,42,M,Nepali Congress,526,Elected,,
1801,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,3,28,M,Nepali Congress,510,Elected,,
1802,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,3,51,M,Nepali Congress,498,Elected,,
1803,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,3,53,F,Nepali Congress,489,Elected,,
1804,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,3,49,F,Nepali Congress,494,Elected,,
1805,Dhanusha,Chhireshwornath Urban Municipality,Ward President,4,35,M,Nepali Congress,522,Elected,,
1806,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,4,32,M,Nepali Congress,502,Elected,,
1807,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,4,36,M,Nepali Congress,489,Elected,,
1808,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,4,54,F,Nepali Congress,512,Elected,,
1809,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,4,50,F,Nepali Congress,514,Elected,,
1810,Dhanusha,Chhireshwornath Urban Municipality,Ward President,5,72,M,Nepali Congress,598,Elected,,
1811,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,5,68,M,Nepali Congress,855,Elected,,
1812,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,5,49,M,Nepali Congress,835,Elected,,
1813,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,5,44,F,Nepali Congress,911,Elected,,
1814,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,5,39,F,Nepali Congress,853,Elected,,
1815,Dhanusha,Chhireshwornath Urban Municipality,Ward President,6,46,M,Nepali Congress,490,Elected,,
1816,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,6,36,M,Nepali Congress,570,Elected,,
1817,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,6,40,M,Nepali Congress,562,Elected,,
1818,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,6,45,F,Nepali Congress,586,Elected,,
1819,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,6,48,F,Nepali Congress,595,Elected,,
