Ward President,Nepali Congress,Communist Party of Nepal (UML),Communist Party of Nepal (Maoist Centre),Rastriya Prajatantra Party,Sanghiya Samajbadi Forum-Nepal (SSFN)
No. of Wards Won,8,7,3,3,2
Total Votes,10194,8775,7800,7695,4883
