,Total Male,Male%,Total Women,Women%
अध्यक्ष,2928,95.00,154,5.00
उपाध्यक्ष,525,24.26,1639,75.74
वडा अध्यक्ष,13657,97.68,324,2.32
जम्मा,39191,61.90,24118,38.10
