,Total Youth,Youth%,Total Older,Older%
अध्यक्ष,1123,36.44,1959,63.56
उपाध्यक्ष,1119,51.71,1045,48.29
वडा अध्यक्ष,5556,39.74,8425,60.26
जम्मा,27724,43.79,35585,56.21
