प्रतिनिधित्व,अध्यक्ष/प्रमुख,उपाअध्यक्ष/उपप्रमुख,वडाध्यक्ष,सदस्य
पुरुष,"6,405","1,214","34,104","52,631"
महिला,461,"3,328","1,043","2,570"
