SN,District,Administrative Division,Position,Ward,Name,Age,Gender,Party,Votes,Status
1,Dolakha,Kalinchowk Rural Municipality,Mayor,,क्रर्न कुमाि थामी,34,M,Communist Party of Nepal (UML),4601,Elected
2,Dolakha,Kalinchowk Rural Municipality,Vice-Mayor,,कानलका पाठक,47,F,Communist Party of Nepal (UML),4590,Elected
3,Dolakha,Kalinchowk Rural Municipality,Ward President,1,बाबलुाल थामी,56,M,Nepali Congress,301,Elected
4,Dolakha,Kalinchowk Rural Municipality,Ward Member,1,अकल बहादिु तामाङ,50,M,Nepali Congress,295,Elected
5,Dolakha,Kalinchowk Rural Municipality,Ward Member,1,डम्र्ि बहादिु तमाङ,37,M,Nepali Congress,294,Elected
6,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,1,करुणा थामी,29,F,Nepali Congress,319,Elected
7,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,1,फुल माया क्रर्क,54,F,Nepali Congress,311,Elected
8,Dolakha,Kalinchowk Rural Municipality,Ward President,2,नानी पाण्डे,40,M,Communist Party of Nepal (Maoist Centre),571,Elected
9,Dolakha,Kalinchowk Rural Municipality,Ward Member,2,जाहान सी ंथामी,33,M,Communist Party of Nepal (Maoist Centre),600,Elected
10,Dolakha,Kalinchowk Rural Municipality,Ward Member,2,ददपेतर बढुाथोकी,27,M,Communist Party of Nepal (Maoist Centre),585,Elected
11,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,2,चतर माया थामी,49,F,Communist Party of Nepal (Maoist Centre),640,Elected
12,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,2,सतुतली कामी,52,F,Communist Party of Nepal (Maoist Centre),616,Elected
13,Dolakha,Kalinchowk Rural Municipality,Ward President,3,ननसान बढुाथोकी,28,M,Communist Party of Nepal (UML),354,Elected
14,Dolakha,Kalinchowk Rural Municipality,Ward Member,3,पषु्कि बहादिु न्शर्ाकोटी,37,M,Communist Party of Nepal (UML),331,Elected
15,Dolakha,Kalinchowk Rural Municipality,Ward Member,3,अमतृ बहादिु पाण्डे,63,M,Communist Party of Nepal (UML),327,Elected
16,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,3,शातती खड्का,39,F,Communist Party of Nepal (UML),335,Elected
17,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,3,सनुमरा शंङ्कि,28,F,Communist Party of Nepal (UML),345,Elected
18,Dolakha,Kalinchowk Rural Municipality,Ward President,4,केशर् बहादिु ठकुिी,55,M,Communist Party of Nepal (UML),382,Elected
19,Dolakha,Kalinchowk Rural Municipality,Ward Member,4,केशि बहादिु थापा,58,M,Communist Party of Nepal (UML),405,Elected
20,Dolakha,Kalinchowk Rural Municipality,Ward Member,4,धन बहादिु थामी,54,M,Communist Party of Nepal (UML),388,Elected
21,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,4,कृष्ण कुमािी खड्का,41,F,Communist Party of Nepal (UML),413,Elected
22,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,4,अमतृा कामी,46,F,Communist Party of Nepal (UML),403,Elected
23,Dolakha,Kalinchowk Rural Municipality,Ward President,5,सरु्ास थामी,33,M,Communist Party of Nepal (UML),454,Elected
24,Dolakha,Kalinchowk Rural Municipality,Ward Member,5,गणेश र्हादिु खड्का,50,M,Communist Party of Nepal (UML),476,Elected
25,Dolakha,Kalinchowk Rural Municipality,Ward Member,5,लक्ष्मीमन थामी,40,M,Communist Party of Nepal (UML),467,Elected
26,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,5,िानधका खड्का,44,F,Communist Party of Nepal (UML),486,Elected
27,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,5,िान ुदेर्ी दमाई(नपाली),37,F,Communist Party of Nepal (UML),491,Elected
28,Dolakha,Kalinchowk Rural Municipality,Ward President,6,मान नस थामी,56,M,Communist Party of Nepal (UML),593,Elected
29,Dolakha,Kalinchowk Rural Municipality,Ward Member,6,डबल पाण्डे,49,M,Communist Party of Nepal (UML),622,Elected
30,Dolakha,Kalinchowk Rural Municipality,Ward Member,6,िक्त बहादिु र्स्नते,80,M,Communist Party of Nepal (UML),598,Elected
31,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,6,ददल माया थामी,39,F,Communist Party of Nepal (UML),615,Elected
32,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,6,छर माया क्रर्श्वकमा,51,F,Communist Party of Nepal (UML),0,Unopposed
33,Dolakha,Kalinchowk Rural Municipality,Ward President,7,चेत र्हादिु खड्का,34,M,Communist Party of Nepal (UML),484,Elected
34,Dolakha,Kalinchowk Rural Municipality,Ward Member,7,धन बहादिु बढुाथोकी,32,M,Communist Party of Nepal (UML),531,Elected
35,Dolakha,Kalinchowk Rural Municipality,Ward Member,7,िमेश न्शर्ाकोटी,31,M,Communist Party of Nepal (UML),527,Elected
36,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,7,कल्याणी न्शर्ाकोटी,38,F,Communist Party of Nepal (UML),520,Elected
37,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,7,बधु माया कामी,45,F,Communist Party of Nepal (UML),520,Elected
38,Dolakha,Kalinchowk Rural Municipality,Ward President,8,नतद िाज न्शर्ाकोटी,55,M,Communist Party of Nepal (UML),658,Elected
39,Dolakha,Kalinchowk Rural Municipality,Ward Member,8,बाल कृष्ण िाना,48,M,Communist Party of Nepal (UML),701,Elected
40,Dolakha,Kalinchowk Rural Municipality,Ward Member,8,होम बहादिु पौडेल,46,M,Communist Party of Nepal (UML),650,Elected
41,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,8,लक्ष्मी न्शर्ाकोटी,32,F,Communist Party of Nepal (UML),695,Elected
42,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,8,नसता बसेल,28,F,Communist Party of Nepal (UML),687,Elected
43,Dolakha,Kalinchowk Rural Municipality,Ward President,9,िाम प्रसाद मैनाली,56,M,Nepali Congress,790,Elected
44,Dolakha,Kalinchowk Rural Municipality,Ward Member,9,नसतािाम शाही ठकुिी,52,M,Nepali Congress,788,Elected
45,Dolakha,Kalinchowk Rural Municipality,Ward Member,9,हस्त बहादिु थामी,51,M,Nepali Congress,742,Elected
46,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,9,तलुसा सेढाई,42,F,Nepali Congress,784,Elected
47,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,9,कमला कामी\खाती,52,F,Nepali Congress,792,Elected
48,Dolakha,Gaurishankar Rural Municipality,Mayor,,सोयम बहादिु खड्का,52,M,Communist Party of Nepal (UML),4249,Elected
49,Dolakha,Gaurishankar Rural Municipality,Vice-Mayor,,उनमला थामी(के.सी.),53,F,Communist Party of Nepal (UML),4176,Elected
50,Dolakha,Gaurishankar Rural Municipality,Ward President,1,झलक कुमाि काकी,54,M,Communist Party of Nepal (UML),346,Elected
51,Dolakha,Gaurishankar Rural Municipality,Ward Member,1,पणु बहादिु न्जिेल,55,M,Communist Party of Nepal (UML),364,Elected
52,Dolakha,Gaurishankar Rural Municipality,Ward Member,1,गोिे तामाि,55,M,Communist Party of Nepal (UML),335,Elected
53,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,1,पेमा न्जिेल,40,F,Communist Party of Nepal (UML),364,Elected
54,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,1,नलला माया साकी,55,F,Communist Party of Nepal (UML),347,Elected
55,Dolakha,Gaurishankar Rural Municipality,Ward President,2,बसतत काकी,35,M,Communist Party of Nepal (Maoist Centre),366,Elected
56,Dolakha,Gaurishankar Rural Municipality,Ward Member,2,इतर बहादिु खड्का,43,M,Communist Party of Nepal (UML),369,Elected
57,Dolakha,Gaurishankar Rural Municipality,Ward Member,2,दनधिाम कामी,52,M,Communist Party of Nepal (UML),338,Elected
58,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,2,चतर कला काकी,25,F,Communist Party of Nepal (UML),364,Elected
59,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,2,ननमला नपाली(दजी),39,F,Communist Party of Nepal (UML),366,Elected
60,Dolakha,Gaurishankar Rural Municipality,Ward President,3,नर बहादिु बस्नते,64,M,Communist Party of Nepal (Maoist Centre),645,Elected
61,Dolakha,Gaurishankar Rural Municipality,Ward Member,3,कृष्ण बहादिु खड्का,55,M,Nepali Congress,642,Elected
62,Dolakha,Gaurishankar Rural Municipality,Ward Member,3,चि बहादिु तमाङ,61,M,Communist Party of Nepal (UML),300,Elected
63,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,3,दगुा खरी,49,F,Nepali Congress,648,Elected
64,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,3,क्रर्ष्ण ुमाया कनमनी,49,F,Communist Party of Nepal (Maoist Centre),630,Elected
65,Dolakha,Gaurishankar Rural Municipality,Ward President,4,प्रलाद काकी,30,M,Nepali Congress,545,Elected
66,Dolakha,Gaurishankar Rural Municipality,Ward Member,4,ध्र्जे शेपा,48,M,Communist Party of Nepal (Maoist Centre),543,Elected
67,Dolakha,Gaurishankar Rural Municipality,Ward Member,4,धार्ा शेपा,49,M,Nepali Congress,488,Elected
68,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,4,नछरिङ डोमा शेपा,26,F,Communist Party of Nepal (Maoist Centre),459,Elected
69,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,4,कक्रर्ता नपाली,29,F,Communist Party of Nepal (UML),379,Elected
70,Dolakha,Gaurishankar Rural Municipality,Ward President,5,नडल्लीध्र्ज बस्तयात,48,M,Communist Party of Nepal (UML),1099,Elected
71,Dolakha,Gaurishankar Rural Municipality,Ward Member,5,दाफुिी शेपा,43,M,Communist Party of Nepal (UML),1078,Elected
72,Dolakha,Gaurishankar Rural Municipality,Ward Member,5,सकु बहादिु तामाङ,54,M,Communist Party of Nepal (UML),1068,Elected
73,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,5,सिस्र्ती सिेुल,44,F,Communist Party of Nepal (UML),1087,Elected
74,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,5,अप्सिा क्रर्श् र्कमा,45,F,Communist Party of Nepal (UML),1095,Elected
75,Dolakha,Gaurishankar Rural Municipality,Ward President,6,पेम्र्ा शेपा,51,M,Communist Party of Nepal (UML),468,Elected
76,Dolakha,Gaurishankar Rural Municipality,Ward Member,6,तेम्बा शेपा,60,M,Communist Party of Nepal (UML),383,Elected
77,Dolakha,Gaurishankar Rural Municipality,Ward Member,6,िरु्न गरुुङ,29,M,Communist Party of Nepal (UML),343,Elected
78,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,6,चरि माया तमाङ,35,F,Communist Party of Nepal (UML),416,Elected
79,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,6,मान कुमािी सनुचेउिी,36,F,Communist Party of Nepal (UML),394,Elected
80,Dolakha,Gaurishankar Rural Municipality,Ward President,7,आङ दोजे शेपा,40,M,Communist Party of Nepal (UML),487,Elected
81,Dolakha,Gaurishankar Rural Municipality,Ward Member,7,चेत बहादिु शेपा,38,M,Communist Party of Nepal (UML),453,Elected
82,Dolakha,Gaurishankar Rural Municipality,Ward Member,7,कोमल बहादिु गरुुङ,62,M,Communist Party of Nepal (UML),435,Elected
83,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,7,कक्रर्ता गरुुङ,35,F,Communist Party of Nepal (UML),404,Elected
84,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,7,सन माया क्रर्श् र्कमा,69,F,Communist Party of Nepal (UML),451,Elected
85,Dolakha,Gaurishankar Rural Municipality,Ward President,8,उदय बहादिु खड्का,44,M,Communist Party of Nepal (UML),481,Elected
86,Dolakha,Gaurishankar Rural Municipality,Ward Member,8,क्रटका बहादिु शे्रष्ठ,31,M,Communist Party of Nepal (UML),468,Elected
87,Dolakha,Gaurishankar Rural Municipality,Ward Member,8,नतलक बहादिु तमाङ,33,M,Communist Party of Nepal (UML),456,Elected
88,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,8,द्वारिका बढुाथोकी,43,F,Communist Party of Nepal (UML),479,Elected
89,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,8,सक्रर्ता नपाली,23,F,Communist Party of Nepal (UML),471,Elected
90,Dolakha,Gaurishankar Rural Municipality,Ward President,9,नछरिङ शेपा,38,M,Communist Party of Nepal (UML),393,Elected
91,Dolakha,Gaurishankar Rural Municipality,Ward Member,9,आि लाक्पा शेपा,65,M,Communist Party of Nepal (UML),374,Elected
92,Dolakha,Gaurishankar Rural Municipality,Ward Member,9,मेघ िाज ठकुिी,28,M,Communist Party of Nepal (UML),372,Elected
93,Dolakha,Gaurishankar Rural Municipality,Female Ward Member,9,आइती तमाङ,48,F,Communist Party of Nepal (UML),382,Elected
94,Dolakha,Gaurishankar Rural Municipality,Dalit Female Ward Member,9,सातत माया कनमनी,64,F,Communist Party of Nepal (UML),382,Elected
95,Dolakha,Jiri Urban Municipality,Mayor,,टंक बहादिु न्जिेल,54,M,Communist Party of Nepal (UML),3212,Elected
96,Dolakha,Jiri Urban Municipality,Vice-Mayor,,कृष्ण माया बढुाथोकी(खड्का),48,F,Communist Party of Nepal (UML),3268,Elected
97,Dolakha,Jiri Urban Municipality,Ward President,1,लाक्पा शेपा,53,M,Nepali Congress,297,Elected
98,Dolakha,Jiri Urban Municipality,Ward Member,1,िक्त बहादिु खड्का,50,M,Nepali Congress,283,Elected
99,Dolakha,Jiri Urban Municipality,Ward Member,1,सन क्रफतज ुशेपा,52,M,Nepali Congress,269,Elected
100,Dolakha,Jiri Urban Municipality,Female Ward Member,1,लाल माया गिुाज ु,43,F,Nepali Congress,286,Elected
101,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,1,नललामाया क्रर्श् र्कमा,35,F,Nepali Congress,294,Elected
102,Dolakha,Jiri Urban Municipality,Ward President,2,क्रङमापल्दे शेपा,32,M,Communist Party of Nepal (Maoist Centre),373,Elected
103,Dolakha,Jiri Urban Municipality,Ward Member,2,पणु बहादिु खरी,29,M,Communist Party of Nepal (Maoist Centre),358,Elected
104,Dolakha,Jiri Urban Municipality,Ward Member,2,आङ क्रङमा शेपा,39,M,Communist Party of Nepal (Maoist Centre),354,Elected
105,Dolakha,Jiri Urban Municipality,Female Ward Member,2,शान्तत काकी,34,F,Communist Party of Nepal (Maoist Centre),328,Elected
106,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,2,ननमला क्रर्श् र्कमा,35,F,Communist Party of Nepal (Maoist Centre),361,Elected
107,Dolakha,Jiri Urban Municipality,Ward President,3,नरु् शेपा,43,M,Communist Party of Nepal (UML),386,Elected
108,Dolakha,Jiri Urban Municipality,Ward Member,3,यरु्िाज बस्नते,35,M,Communist Party of Nepal (UML),366,Elected
109,Dolakha,Jiri Urban Municipality,Ward Member,3,नमङमि शेपा,46,M,Communist Party of Nepal (UML),365,Elected
110,Dolakha,Jiri Urban Municipality,Female Ward Member,3,मञ्ज काकी/ खड्का,25,F,Communist Party of Nepal (UML),385,Elected
111,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,3,क्रकष् न माया दनमनी,47,F,Communist Party of Nepal (UML),377,Elected
112,Dolakha,Jiri Urban Municipality,Ward President,4,पदे मान न्जिेल,44,M,Communist Party of Nepal (UML),561,Elected
113,Dolakha,Jiri Urban Municipality,Ward Member,4,कृष्ण बहादिु काकी,24,M,Communist Party of Nepal (UML),541,Elected
114,Dolakha,Jiri Urban Municipality,Ward Member,4,न्शर् बहादिु काकी,41,M,Communist Party of Nepal (UML),530,Elected
115,Dolakha,Jiri Urban Municipality,Female Ward Member,4,िश् मीला िाई/ न्जिेल,34,F,Communist Party of Nepal (UML),538,Elected
116,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,4,ननि माया क्रर्. क,56,F,Communist Party of Nepal (UML),0,Unopposed
117,Dolakha,Jiri Urban Municipality,Ward President,5,क्रङमा सागे शेपा,56,M,Communist Party of Nepal (Maoist Centre),175,Elected
118,Dolakha,Jiri Urban Municipality,Ward Member,5,िाम बहादिु न्जिेल,50,M,Communist Party of Nepal (UML),165,Elected
119,Dolakha,Jiri Urban Municipality,Ward Member,5,नि बहादिु न्जिेल,55,M,Communist Party of Nepal (UML),162,Elected
120,Dolakha,Jiri Urban Municipality,Female Ward Member,5,न्चनी माया न्जिेल (शेपा),52,F,Communist Party of Nepal (UML),172,Elected
121,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,5,देर्की क्रर्श्र्कमा,25,F,Communist Party of Nepal (UML),170,Elected
122,Dolakha,Jiri Urban Municipality,Ward President,6,गोपाल बहादिु काकी,54,M,Communist Party of Nepal (UML),431,Elected
123,Dolakha,Jiri Urban Municipality,Ward Member,6,नलला बहादिु न्जिेल,53,M,Communist Party of Nepal (UML),420,Elected
124,Dolakha,Jiri Urban Municipality,Ward Member,6,प्रकाश न्जिेल,62,M,Communist Party of Nepal (UML),412,Elected
125,Dolakha,Jiri Urban Municipality,Female Ward Member,6,मन माया न्जिेल,47,F,Communist Party of Nepal (UML),424,Elected
126,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,6,तािा देर्ी क्रर्श् र्कमा,43,F,Communist Party of Nepal (UML),428,Elected
127,Dolakha,Jiri Urban Municipality,Ward President,7,डके शेपा,39,M,Communist Party of Nepal (UML),392,Elected
128,Dolakha,Jiri Urban Municipality,Ward Member,7,लोक बहादिु न्जिेल,48,M,Communist Party of Nepal (UML),387,Elected
129,Dolakha,Jiri Urban Municipality,Ward Member,7,शातत बहादिु न्जिेल,50,M,Communist Party of Nepal (UML),382,Elected
130,Dolakha,Jiri Urban Municipality,Female Ward Member,7,मन्तदिा न्जिेल,31,F,Communist Party of Nepal (UML),386,Elected
131,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,7,चतर माया दजी,42,F,Communist Party of Nepal (UML),383,Elected
132,Dolakha,Jiri Urban Municipality,Ward President,8,तेज बहादिु खड्का,49,M,Communist Party of Nepal (UML),474,Elected
133,Dolakha,Jiri Urban Municipality,Ward Member,8,पेमा दोजी शेपा,37,M,Communist Party of Nepal (UML),444,Elected
134,Dolakha,Jiri Urban Municipality,Ward Member,8,सतुदि खरी,31,M,Communist Party of Nepal (UML),432,Elected
135,Dolakha,Jiri Urban Municipality,Female Ward Member,8,िर माया खड्का,39,F,Communist Party of Nepal (UML),453,Elected
136,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,8,नसता खाती,24,F,Communist Party of Nepal (UML),449,Elected
137,Dolakha,Jiri Urban Municipality,Ward President,9,ज्ञान बहादिु सनुरु्ाि,51,M,Communist Party of Nepal (UML),514,Elected
138,Dolakha,Jiri Urban Municipality,Ward Member,9,न्जर् ेबहादिु तामाङ,49,M,Communist Party of Nepal (UML),504,Elected
139,Dolakha,Jiri Urban Municipality,Ward Member,9,ित् न बहादिु तामाङ,48,M,Communist Party of Nepal (UML),438,Elected
140,Dolakha,Jiri Urban Municipality,Female Ward Member,9,सतुतली सनुरु्ाि,30,F,Communist Party of Nepal (UML),486,Elected
141,Dolakha,Jiri Urban Municipality,Dalit Female Ward Member,9,लाल माया नपाली,54,F,Communist Party of Nepal (UML),474,Elected
142,Dolakha,Tamakoshi Rural Municipality,Mayor,,इश् र्ि चतर पोखिेल,57,M,Communist Party of Nepal (UML),4615,Elected
143,Dolakha,Tamakoshi Rural Municipality,Vice-Mayor,,उनमला खड्का(के.सी.),34,F,Communist Party of Nepal (UML),4429,Elected
144,Dolakha,Tamakoshi Rural Municipality,Ward President,1,महेश्र्ि काफ्ले,30,M,Nepali Congress,750,Elected
145,Dolakha,Tamakoshi Rural Municipality,Ward Member,1,िाज कुमाि खड्का,32,M,Nepali Congress,658,Elected
146,Dolakha,Tamakoshi Rural Municipality,Ward Member,1,सनु्शला के.सी.,31,F,Nepali Congress,625,Elected
147,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,1,गंगा काफ्ले,46,F,Nepali Congress,675,Elected
148,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,1,शिस्र्ती नब. क,40,F,Nepali Congress,680,Elected
149,Dolakha,Tamakoshi Rural Municipality,Ward President,2,हक बहादिु योञ्जन,66,M,Nepali Congress,624,Elected
150,Dolakha,Tamakoshi Rural Municipality,Ward Member,2,ओम बहादिु के.सी.,51,M,Nepali Congress,627,Elected
151,Dolakha,Tamakoshi Rural Municipality,Ward Member,2,नानी काजी तामाङ,41,M,Nepali Congress,624,Elected
152,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,2,सिस्र्ाती काकी,56,F,Nepali Congress,638,Elected
153,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,2,तािा माया क्रर्श्र्कमा,47,F,Nepali Congress,637,Elected
154,Dolakha,Tamakoshi Rural Municipality,Ward President,3,िाम प्रसाद काफ्ले,64,M,Nepali Congress,1222,Elected
155,Dolakha,Tamakoshi Rural Municipality,Ward Member,3,िोज बहादिु महत,39,M,Communist Party of Nepal (Maoist Centre),877,Elected
156,Dolakha,Tamakoshi Rural Municipality,Ward Member,3,इिाज न्घनमिे,32,M,Communist Party of Nepal (Maoist Centre),875,Elected
157,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,3,अननता काकी (िण् डािी),25,F,Nepali Congress,1044,Elected
158,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,3,शातता कामी,46,F,Nepali Congress,976,Elected
159,Dolakha,Tamakoshi Rural Municipality,Ward President,4,होम बहादिु शे्रष्ठ,38,M,Communist Party of Nepal (UML),721,Elected
160,Dolakha,Tamakoshi Rural Municipality,Ward Member,4,टंक बहादिु खड्का,73,M,Communist Party of Nepal (UML),707,Elected
161,Dolakha,Tamakoshi Rural Municipality,Ward Member,4,प्रकास योगी,31,M,Communist Party of Nepal (UML),691,Elected
162,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,4,गीता पोखिेल,43,F,Communist Party of Nepal (UML),757,Elected
163,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,4,नमन ुनपाली,23,F,Communist Party of Nepal (UML),732,Elected
164,Dolakha,Tamakoshi Rural Municipality,Ward President,5,िाज कुमाि िोकाहा,39,M,Communist Party of Nepal (UML),718,Elected
165,Dolakha,Tamakoshi Rural Municipality,Ward Member,5,अग लाल चौलागाई,60,M,Communist Party of Nepal (UML),681,Elected
166,Dolakha,Tamakoshi Rural Municipality,Ward Member,5,गणु नािायण शे्रष् ठ,53,M,Communist Party of Nepal (UML),675,Elected
167,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,5,ननशा फुयाल,30,F,Communist Party of Nepal (UML),712,Elected
168,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,5,ननशा सतुदास,27,F,Communist Party of Nepal (UML),713,Elected
169,Dolakha,Tamakoshi Rural Municipality,Ward President,6,झनक बहादिु फूयाल(खरी),56,M,Communist Party of Nepal (UML),710,Elected
170,Dolakha,Tamakoshi Rural Municipality,Ward Member,6,रुर बहादिु न्घमीिे,54,M,Communist Party of Nepal (UML),697,Elected
171,Dolakha,Tamakoshi Rural Municipality,Ward Member,6,ङि हरि फुयाल,47,M,Nepali Congress,693,Elected
172,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,6,नमना न्शर्ाकोटी,25,F,Communist Party of Nepal (UML),709,Elected
173,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,6,एसोधा क्रर् क,23,F,Communist Party of Nepal (UML),720,Elected
174,Dolakha,Tamakoshi Rural Municipality,Ward President,7,लेख बहादिु सनुरु्ाि,45,M,Communist Party of Nepal (UML),539,Elected
175,Dolakha,Tamakoshi Rural Municipality,Ward Member,7,ढाल बहादिु ढुिल /खरी,43,M,Communist Party of Nepal (UML),544,Elected
176,Dolakha,Tamakoshi Rural Municipality,Ward Member,7,गेल्जे शेपा,40,M,Communist Party of Nepal (UML),543,Elected
177,Dolakha,Tamakoshi Rural Municipality,Female Ward Member,7,क्रहिा देर्ी सनुरु्ाि,44,F,Communist Party of Nepal (UML),529,Elected
178,Dolakha,Tamakoshi Rural Municipality,Dalit Female Ward Member,7,कल्पना क्रर् क रिजाल,23,F,Communist Party of Nepal (UML),537,Elected
179,Dolakha,Bhimeshwor Urban Municipality,Mayor,,िित र्हादिु के.सी.,52,M,Communist Party of Nepal (UML),6853,Elected
180,Dolakha,Bhimeshwor Urban Municipality,Vice-Mayor,,कमला बस्नते,48,F,Communist Party of Nepal (UML),7017,Elected
181,Dolakha,Bhimeshwor Urban Municipality,Ward President,1,क्रर्ि बहादिु थामी,44,M,Communist Party of Nepal (UML),821,Elected
182,Dolakha,Bhimeshwor Urban Municipality,Ward Member,1,नतलक बहादिु थामी,40,M,Communist Party of Nepal (UML),811,Elected
183,Dolakha,Bhimeshwor Urban Municipality,Ward Member,1,मिुािीिाज न्शर्ाकोटी,43,M,Communist Party of Nepal (UML),801,Elected
184,Dolakha,Bhimeshwor Urban Municipality,Female Ward Member,1,गौिी थामी,67,F,Communist Party of Nepal (UML),867,Elected
185,Dolakha,Bhimeshwor Urban Municipality,Dalit Female Ward Member,1,कल्प ना खाती,42,F,Communist Party of Nepal (UML),808,Elected
186,Dolakha,Bhimeshwor Urban Municipality,Ward President,2,क्रर्िाज मान शे्रष्ठ,40,M,Nepali Congress,826,Elected
187,Dolakha,Bhimeshwor Urban Municipality,Ward Member,2,ननि बहादिु तामाङ,40,M,Communist Party of Nepal (UML),738,Elected
188,Dolakha,Bhimeshwor Urban Municipality,Ward Member,2,चरिर कृष्ण जोशी,62,M,Nepali Congress,729,Elected
189,Dolakha,Bhimeshwor Urban Municipality,Female Ward Member,2,िाज कुमािी शे्रष्ठ,43,F,Communist Party of Nepal (UML),770,Elected
190,Dolakha,Bhimeshwor Urban Municipality,Dalit Female Ward Member,2,जनुक्रकिी क्रर्श्र्कमा,63,F,Communist Party of Nepal (UML),761,Elected
191,Dolakha,Bhimeshwor Urban Municipality,Ward President,3,हरि शिण न्शर्ाकोटी,40,M,Nepali Congress,588,Elected
192,Dolakha,Bhimeshwor Urban Municipality,Ward Member,3,िित बहादिु थापा,56,M,Nepali Congress,509,Elected
193,Dolakha,Bhimeshwor Urban Municipality,Ward Member,3,िाम बहादिु बस्नत,50,M,Nepali Congress,506,Elected
194,Dolakha,Bhimeshwor Urban Municipality,Female Ward Member,3,सततोषी शे्रष्ठ,31,F,Nepali Congress,560,Elected
195,Dolakha,Bhimeshwor Urban Municipality,Dalit Female Ward Member,3,क्रर्तद ा रिजाल,36,F,Nepali Congress,560,Elected
196,Dolakha,Bhimeshwor Urban Municipality,Ward President,4,हरिरं्श चौलागाईं,40,M,Communist Party of Nepal (UML),543,Elected
197,Dolakha,Bhimeshwor Urban Municipality,Ward Member,4,ददल बहादिु शे्रष्ठ,50,M,Communist Party of Nepal (UML),595,Elected
198,Dolakha,Bhimeshwor Urban Municipality,Ward Member,4,र्षृ बहादिु बढुाथोकी,64,M,Communist Party of Nepal (UML),551,Elected
199,Dolakha,Bhimeshwor Urban Municipality,Female Ward Member,4,जमनुा शे्रष्ठ,39,F,Communist Party of Nepal (UML),589,Elected
200,Dolakha,Bhimeshwor Urban Municipality,Dalit Female Ward Member,4,सोस्थानी बयलकोटी,37,F,Communist Party of Nepal (UML),605,Elected
201,Dolakha,Bhimeshwor Urban Municipality,Ward President,5,िामचतर बस्नत,44,M,Communist Party of Nepal (UML),1340,Elected
202,Dolakha,Bhimeshwor Urban Municipality,Ward Member,5,श्रीकृष् ण बस्नते,47,M,Communist Party of Nepal (UML),1265,Elected
203,Dolakha,Bhimeshwor Urban Municipality,Ward Member,5,नािायण शे्रष्ठ,48,M,Communist Party of Nepal (UML),1252,Elected
